ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,9,0,,0,0,,0,,0
1,Canada,  ,2016,Out,9,0,,0,0,,0,,0
1,Canada,  ,2017,Out,9,0,,0,0,,0,,0
1,Canada,  ,2018,Out,9,0,,0,0,,0,,0
1,Canada,  ,2019,Out,9,0,,0,0,,0,,0
1,Canada,  ,2020,Out,9,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,9,241,0.07,241,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,9,50,0.02,50,1,2,0,0,"324,460"
1,United States of America,  ,2018,Out,9,14,0,14,0,0,0,0,"326,767"
1,United States of America,  ,2019,Out,9,47,0.01,47,0,0,0,0,"326,767"
1,United States of America,  ,2020,Out,9,51,0.02,51,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,9,4,0,4,0,0,0,0,"325,128"
1,North America,  ,2015,In,,4,0,4,0,0,0,0,"325,128"
1,North America,  ,2016,In,,241,0.07,241,0,0,0,0,"324,119"
1,North America,  ,2017,In,,50,0.02,50,1,2,0,0,"324,460"
1,North America,  ,2018,In,,14,0,14,0,0,0,0,"326,767"
1,North America,  ,2019,In,,47,0.01,47,0,0,0,0,"326,767"
1,North America,  ,2020,In,,51,0.02,51,0,0,0,0,"326,767"
2,Belize,"DEN 1,2",2019,Out,9,459,120.16,66,0,0,0,0,382
2,Belize,"DEN 1,3",2020,Out,9,906,237.17,181,0,0,0,0,382
2,Belize,DEN 2,2015,Out,9,665,191.09,48,,,,,348
2,Belize,DEN 2,2017,Out,9,950,253.33,10,2,0.21,0,0,375
2,Belize,DEN 2,2018,Out,9,229,59.95,6,,,0,0,382
2,Belize,DEN 3,2016,Out,9,"1,063",289.65,70,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,9,942,19.2,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,9,350,7.07,,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,9,355,7.17,10,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,9,"1,343",27.11,83,2,0.15,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,9,741,14.81,0,0,0,0,0,"5,002"
2,Costa Rica,"DEN1,2,3",2016,Out,9,"5,662",116.57,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,9,"1,681",26.16,230,10,0.59,0,0,"6,426"
2,El Salvador,DEN 2,2016,Out,9,"2,524",41.07,52,57,2.26,0,0,"6,146"
