ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,47,0,,0,0,,0,,0
1,Canada,  ,2016,Out,47,0,,0,0,,0,,0
1,Canada,  ,2017,Out,47,0,,0,0,,0,,0
1,Canada,  ,2018,Out,47,0,,0,0,,0,,0
1,Canada,  ,2019,Out,47,0,,0,0,,0,,0
1,Canada,  ,2020,Out,47,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,47,952,0.29,952,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,47,413,0.13,413,8,1.94,0,0,"324,460"
1,United States of America,  ,2018,Out,47,257,0.08,257,4,1.56,0,0,"326,767"
1,United States of America,  ,2019,Out,47,"1,000",0.31,"1,000",16,1.6,0,0,"326,767"
1,United States of America,  ,2020,Out,47,261,0.08,261,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,47,777,0.24,777,5,0.64,0,0,"325,128"
1,North America,  ,2015,In,,777,0.24,777,5,0.64,0,0,"325,128"
1,North America,  ,2016,In,,952,0.29,952,0,0,0,0,"324,119"
1,North America,  ,2017,In,,413,0.13,413,8,1.94,0,0,"324,460"
1,North America,  ,2018,In,,257,0.08,257,4,1.56,0,0,"326,767"
1,North America,  ,2019,In,,"1,000",0.31,"1,000",16,1.6,0,0,"326,767"
1,North America,  ,2020,In,,261,0.08,261,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,47,"11,959","3,130.63","2,867",109,0.91,0,0,382
2,Belize,"DEN 1,3",2020,Out,47,"2,544",665.97,322,0,0,0,0,382
2,Belize,DEN 2,2015,Out,47,"5,121","1,471.55",463,,,,,348
2,Belize,DEN 2,2017,Out,47,"2,961",789.6,47,2,0.07,0,0,375
2,Belize,DEN 2,2018,Out,47,"2,048",536.13,110,,,0,0,382
2,Belize,DEN 3,2016,Out,47,"4,643","1,265.12",120,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,47,"5,427",110.62,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,47,"2,499",50.45,265,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,47,"8,688",175.41,337,11,0.13,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,47,"9,723",196.31,426,20,0.21,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,47,"13,686",273.61,0,6,0.04,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,47,"22,038",453.74,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,47,"47,105",733.04,"10,536",357,0.76,5,0.011,"6,426"
2,El Salvador,DEN 2,2016,Out,47,"8,500",138.3,117,200,2.35,1,0.012,"6,146"
2,El Salvador,DEN 2,2017,Out,47,"4,017",62.98,214,6,0.15,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,47,"7,840",122.27,789,139,1.77,1,0.013,"6,412"
2,El Salvador,DEN 2,2019,Out,47,"26,434",412.26,752,105,0.4,14,0.053,"6,412"
2,El Salvador,DEN 2,2020,Out,47,"5,225",81.49,35,9,0.17,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,47,"15,937",98.04,"1,228",39,0.24,9,0.056,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,47,"8,581",51.47,330,47,0.55,1,0.012,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,46,"3,900",23.06,"1,378",64,1.64,14,0.359,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,47,"6,453",37.42,"2,083",67,1.04,18,0.279,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,47,"47,978",278.21,"1,387",113,0.24,66,0.138,"17,245"
2,Guatemala,"DEN 1,2,3,4",2020,Out,47,"5,846",33.9,832,18,0.31,10,0.171,"17,245"
2,Honduras,  ,2015,Out,47,"42,229",501.29,0,986,2.33,3,0.007,"8,424"
2,Honduras,"DEN 1,2",2019,Out,47,"103,444","1,129.55",170,"19,296",18.65,170,0.164,"9,158"
2,Honduras,"DEN 1,2",2020,Out,47,"24,509",267.62,75,"1,714",6.99,9,0.037,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,47,"6,849",72.73,,703,10.26,3,0.044,"9,417"
2,Honduras,DEN 2,2016,Out,47,"22,271",271.93,76,301,1.35,3,0.013,"8,190"
2,Honduras,DEN 2,2017,Out,45,"4,928",53.19,0,105,2.13,0,0,"9,265"
2,Mexico,"DEN 1,2,3",2017,Out,47,"84,405",65.35,"12,987",345,0.41,32,0.038,"129,163"
2,Mexico,"DEN 1,2,3,4",2015,Out,47,"207,347",165.57,"23,584","4,677",2.26,31,0.015,"125,236"
2,Mexico,"DEN 1,2,3,4",2016,Out,47,"124,580",96.85,"16,510",755,0.61,19,0.015,"128,632"
2,Mexico,"DEN 1,2,3,4",2018,Out,47,"72,197",55.21,"11,200",753,1.04,40,0.055,"130,759"
2,Mexico,"DEN 1,2,3,4",2019,Out,47,"244,385",186.9,"35,594","2,853",1.17,135,0.055,"130,759"
2,Mexico,"DEN 1,2,3,4",2020,Out,47,"111,303",85.12,"21,917",954,0.86,50,0.045,"130,759"
2,Nicaragua,DEN 2,2016,Out,47,"83,308","1,354.60","6,335",,,16,0.019,"6,150"
2,Nicaragua,DEN 2,2017,Out,47,"61,561",990.05,"2,416",,,2,0.003,"6,218"
2,Nicaragua,DEN 2,2018,Out,47,"51,645",821.72,"1,591",,,2,0.004,"6,285"
2,Nicaragua,DEN 2,2019,Out,47,"173,666","2,763.18","9,809","1,105",0.64,27,0.016,"6,285"
2,Nicaragua,DEN 2,2020,Out,47,"48,274",768.08,"1,164",66,0.14,1,0.002,"6,285"
2,Nicaragua,"DEN 2,3",2015,Out,47,"43,235",690.99,"3,149",9,0.02,9,0.021,"6,257"
2,Panama,DEN 1,2020,Out,47,"3,874",93.06,"1,923",12,0.31,5,0.129,"4,163"
2,Panama,"DEN 1,2",2018,Out,47,"6,281",150.88,"3,853",7,0.11,3,0.048,"4,163"
2,Panama,"DEN 1,2,3",2015,Out,45,"2,218",55.62,"1,708",3,0.14,1,0.045,"3,988"
2,Panama,"DEN 1,2,3",2016,Out,47,"6,204",155.49,"1,711",12,0.19,9,0.145,"3,990"
2,Panama,"DEN 1,2,3",2017,Out,47,"7,895",192.61,"4,198",16,0.2,1,0.013,"4,099"
2,Panama,"DEN 1,3",2019,Out,47,"7,426",178.38,"4,367",10,0.13,3,0.04,"4,163"
2,Central America Ithsmus and Mexico,  ,2015,In,,"376,878",219.2,"40,668","6,077",1.61,58,0.015,"171,936"
2,Central America Ithsmus and Mexico,  ,2016,In,,"280,125",160.07,"25,199","1,315",0.47,49,0.017,"175,005"
2,Central America Ithsmus and Mexico,  ,2017,In,,"175,094",98.75,"21,240",538,0.31,49,0.028,"177,318"
2,Central America Ithsmus and Mexico,  ,2018,In,,"155,812",86.75,"19,891","1,669",1.07,67,0.043,"179,616"
2,Central America Ithsmus and Mexico,  ,2019,In,,"623,980",347.9,"55,283","23,602",3.78,415,0.067,"179,357"
2,Central America Ithsmus and Mexico,  ,2020,In,,"211,298",117.81,"26,694","2,793",1.32,75,0.035,"179,357"
3,Bolivia,"DEN 1,2",2019,Out,47,"13,774",122.81,"5,698",267,1.94,20,0.145,"11,216"
3,Bolivia,"DEN 1,2",2020,Out,47,"84,193",750.65,"14,386",220,0.26,32,0.038,"11,216"
3,Bolivia,"DEN 1,2,3",2018,Out,47,"5,868",52.32,557,18,0.31,0,0,"11,216"
3,Bolivia,"DEN 1,2,4",2016,Out,47,"30,781",282.71,"4,065",59,0.19,1,0.003,"10,888"
3,Bolivia,"DEN 1,4",2015,Out,47,"25,057",227.27,"2,074",78,0.31,0,0,"11,025"
3,Bolivia,"DEN 1,4",2017,Out,47,"9,556",86.46,889,63,0.66,2,0.021,"11,052"
3,Colombia,"DEN 1,2,3",2017,Out,47,"23,071",47.02,"6,784",209,0.91,14,0.061,"49,066"
3,Colombia,"DEN 1,2,3",2018,Out,47,"37,482",75.77,"4,063",433,1.16,21,0.056,"49,465"
3,Colombia,"DEN 1,2,3",2019,Out,47,"114,438",231.35,"32,673","1,237",1.08,77,0.067,"49,465"
3,Colombia,"DEN 1,2,3,4",2015,Out,47,"84,241",170.08,,"1,195",1.42,61,0.072,"49,529"
3,Colombia,"DEN 1,2,3,4",2016,Out,47,"96,751",198.86,"43,050",860,0.89,39,0.04,"48,654"
3,Colombia,"DEN 1,2,3,4",2020,Out,47,"75,246",152.12,"17,401",840,1.12,43,0.057,"49,465"
3,Ecuador,  ,2017,Out,47,"11,195",67.34,"11,195",15,0.13,4,0.036,"16,625"
3,Ecuador,  ,2018,Out,47,"2,887",17.12,115,5,0.17,1,0.035,"16,863"
3,Ecuador,"DEN 1,2",2019,Out,47,"7,629",45.24,821,35,0.46,2,0.026,"16,863"
3,Ecuador,"DEN 1,2",2020,Out,47,"15,482",91.81,,49,0.32,6,0.039,"16,863"
3,Ecuador,"DEN 1,2,3,4",2015,Out,47,"41,965",258.63,"1,274",54,0.13,8,0.019,"16,226"
3,Ecuador,"DEN 1,2,4",2016,Out,47,"13,412",81.86,"13,412",38,0.28,4,0.03,"16,385"
3,Peru,"DEN 1,2",2020,Out,47,"46,391",142.51,"27,199",122,0.26,71,0.153,"32,552"
3,Peru,"DEN 1,2,3,4",2015,Out,47,"38,369",123.13,"19,424",129,0.34,41,0.107,"31,161"
3,Peru,"DEN 1,2,3,4",2016,Out,47,"30,445",95.82,"16,367",124,0.41,37,0.122,"31,774"
3,Peru,"DEN 1,2,3,4",2017,Out,47,"74,916",232.91,"25,131",241,0.32,70,0.093,"32,165"
3,Peru,"DEN 1,2,3,4",2019,Out,47,"13,708",42.11,,84,0.61,28,0.204,"32,552"
3,Peru,"DEN 2,4",2018,Out,47,"6,530",20.06,,60,0.92,16,0.245,"32,552"
3,Venezuela,DEN 1,2017,Out,47,"8,042",25.15,,319,3.97,,,"31,977"
3,Venezuela,"DEN 1,2,3",2018,Out,47,"16,954",52.36,"2,076",89,0.52,16,0.094,"32,381"
3,Venezuela,"DEN 1,2,3",2019,Out,47,"14,369",44.37,845,61,0.42,19,0.132,"32,381"
3,Venezuela,"DEN 1,2,3",2020,Out,47,"6,105",18.85,238,25,0.41,14,0.229,"32,381"
3,Venezuela,"DEN 1,2,3,4",2015,Out,30,"16,506",52.75,0,86,0.52,0,0,"31,293"
3,Venezuela,"DEN 1,2,3,4",2016,Out,47,"28,560",90.61,"5,598",111,0.39,38,0.133,"31,519"
3,Andean Subregion,  ,2015,In,,"206,138",148.05,"22,772","1,542",0.75,110,0.053,"139,234"
3,Andean Subregion,  ,2016,In,,"199,949",143.62,"82,492","1,192",0.6,119,0.06,"139,220"
