ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,49,0,,0,0,,0,,0
1,Canada,  ,2016,Out,49,0,,0,0,,0,,0
1,Canada,  ,2017,Out,49,0,,0,0,,0,,0
1,Canada,  ,2018,Out,49,0,,0,0,,0,,0
1,Canada,  ,2019,Out,49,0,,0,0,,0,,0
1,Canada,  ,2020,Out,49,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,49,969,0.3,969,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,49,431,0.13,431,9,2.09,0,0,"324,460"
1,United States of America,  ,2018,Out,49,296,0.09,296,6,2.03,0,0,"326,767"
1,United States of America,  ,2019,Out,49,"1,050",0.32,"1,050",20,1.9,0,0,"326,767"
1,United States of America,  ,2020,Out,49,282,0.09,282,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,49,842,0.26,842,5,0.59,0,0,"325,128"
1,North America,  ,2015,In,,842,0.26,842,5,0.59,0,0,"325,128"
1,North America,  ,2016,In,,969,0.3,969,0,0,0,0,"324,119"
1,North America,  ,2017,In,,431,0.13,431,9,2.09,0,0,"324,460"
1,North America,  ,2018,In,,296,0.09,296,6,2.03,0,0,"326,767"
1,North America,  ,2019,In,,"1,050",0.32,"1,050",20,1.9,0,0,"326,767"
1,North America,  ,2020,In,,282,0.09,282,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,49,"12,695","3,323.30","3,045",109,0.86,0,0,382
2,Belize,"DEN 1,3",2020,Out,49,"2,614",684.29,322,0,0,0,0,382
2,Belize,DEN 2,2015,Out,49,"5,374","1,544.25",480,,,,,348
2,Belize,DEN 2,2017,Out,49,"2,996",798.93,47,2,0.07,0,0,375
2,Belize,DEN 2,2018,Out,49,"2,188",572.77,112,,,0,0,382
2,Belize,DEN 3,2016,Out,49,"4,749","1,294.01",120,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,49,"5,497",112.05,,0,0,0,0,"4,906"
