ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,48,0,,0,0,,0,,0
1,Canada,  ,2016,Out,48,0,,0,0,,0,,0
1,Canada,  ,2017,Out,48,0,,0,0,,0,,0
1,Canada,  ,2018,Out,48,0,,0,0,,0,,0
1,Canada,  ,2019,Out,48,0,,0,0,,0,,0
1,Canada,  ,2020,Out,48,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,48,961,0.3,961,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,48,421,0.13,421,8,1.9,0,0,"324,460"
1,United States of America,  ,2018,Out,48,277,0.08,277,4,1.44,0,0,"326,767"
1,United States of America,  ,2019,Out,48,"1,004",0.31,"1,004",16,1.59,0,0,"326,767"
1,United States of America,  ,2020,Out,48,278,0.09,278,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,48,812,0.25,812,5,0.62,0,0,"325,128"
1,North America,  ,2015,In,,812,0.25,812,5,0.62,0,0,"325,128"
1,North America,  ,2016,In,,961,0.3,961,0,0,0,0,"324,119"
1,North America,  ,2017,In,,421,0.13,421,8,1.9,0,0,"324,460"
1,North America,  ,2018,In,,277,0.08,277,4,1.44,0,0,"326,767"
1,North America,  ,2019,In,,"1,004",0.31,"1,004",16,1.59,0,0,"326,767"
1,North America,  ,2020,In,,278,0.09,278,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,48,"12,386","3,242.41","2,978",109,0.88,0,0,382
2,Belize,"DEN 1,3",2020,Out,48,"2,583",676.18,322,0,0,0,0,382
2,Belize,DEN 2,2015,Out,48,"5,254","1,509.77",471,,,,,348
2,Belize,DEN 2,2017,Out,48,"2,978",794.13,47,2,0.07,0,0,375
2,Belize,DEN 2,2018,Out,48,"2,114",553.4,111,,,0,0,382
2,Belize,DEN 3,2016,Out,48,"4,693","1,278.75",120,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,48,"5,472",111.54,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,48,"2,551",51.5,265,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,48,"8,875",179.18,344,11,0.12,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,48,"9,808",198.02,426,20,0.2,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,48,"14,576",291.4,0,6,0.04,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,48,"22,333",459.81,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,48,"48,203",750.12,"10,717",358,0.74,5,0.01,"6,426"
2,El Salvador,DEN 2,2016,Out,48,"8,576",139.54,120,200,2.33,1,0.012,"6,146"
2,El Salvador,DEN 2,2017,Out,48,"4,076",63.91,214,6,0.15,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,48,"7,984",124.52,789,145,1.82,1,0.013,"6,412"
2,El Salvador,DEN 2,2019,Out,48,"26,675",416.02,760,105,0.39,14,0.052,"6,412"
2,El Salvador,DEN 2,2020,Out,48,"5,288",82.47,35,9,0.17,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,48,"15,998",98.42,"1,228",39,0.24,9,0.056,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,47,"8,581",51.47,330,47,0.55,1,0.012,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,48,"4,034",23.85,"1,378",64,1.59,14,0.347,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,48,"6,547",37.96,"2,115",67,1.02,18,0.275,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,48,"48,636",282.03,"1,429",113,0.23,66,0.136,"17,245"
2,Guatemala,"DEN 1,2,3,4",2020,Out,48,"5,886",34.13,839,18,0.31,10,0.17,"17,245"
2,Honduras,  ,2015,Out,48,"42,680",506.65,0,"1,206",2.83,5,0.012,"8,424"
2,Honduras,"DEN 1,2",2019,Out,48,"105,513","1,152.14",175,"19,328",18.32,175,0.166,"9,158"
2,Honduras,"DEN 1,2",2020,Out,48,"24,867",271.53,75,"1,722",6.92,9,0.036,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,48,"7,072",75.1,,777,10.99,3,0.042,"9,417"
2,Honduras,DEN 2,2016,Out,48,"22,410",273.63,76,302,1.35,3,0.013,"8,190"
2,Honduras,DEN 2,2017,Out,48,"5,055",54.56,0,121,2.39,0,0,"9,265"
2,Mexico,"DEN 1,2,3",2017,Out,48,"86,897",67.28,"13,324",350,0.4,34,0.039,"129,163"
2,Mexico,"DEN 1,2,3,4",2015,Out,48,"211,754",169.08,"24,605","4,897",2.31,33,0.016,"125,236"
2,Mexico,"DEN 1,2,3,4",2016,Out,48,"126,765",98.55,"16,835",772,0.61,23,0.018,"128,632"
2,Mexico,"DEN 1,2,3,4",2018,Out,48,"74,018",56.61,"11,579",773,1.04,44,0.059,"130,759"
2,Mexico,"DEN 1,2,3,4",2019,Out,48,"251,445",192.3,"37,057","3,012",1.2,135,0.054,"130,759"
2,Mexico,"DEN 1,2,3,4",2020,Out,48,"114,642",87.67,"22,736",985,0.86,50,0.044,"130,759"
2,Nicaragua,DEN 2,2016,Out,48,"84,518","1,374.28","6,380",,,16,0.019,"6,150"
2,Nicaragua,DEN 2,2017,Out,48,"62,326","1,002.35","2,435",,,2,0.003,"6,218"
2,Nicaragua,DEN 2,2018,Out,48,"52,871",841.23,"1,692",,,3,0.006,"6,285"
2,Nicaragua,DEN 2,2019,Out,48,"177,142","2,818.49","10,050","1,145",0.65,27,0.015,"6,285"
2,Nicaragua,DEN 2,2020,Out,48,"49,664",790.2,"1,194",66,0.13,1,0.002,"6,285"
2,Nicaragua,"DEN 2,3",2015,Out,48,"44,786",715.77,"3,763",9,0.02,9,0.02,"6,257"
2,Panama,DEN 1,2020,Out,48,"3,894",93.54,"1,933",12,0.31,5,0.128,"4,163"
2,Panama,"DEN 1,2",2018,Out,48,"6,415",154.1,"3,922",8,0.12,3,0.047,"4,163"
2,Panama,"DEN 1,2,3",2015,Out,45,"2,218",55.62,"1,708",3,0.14,1,0.045,"3,988"
2,Panama,"DEN 1,2,3",2016,Out,48,"6,413",160.73,"1,727",12,0.19,9,0.14,"3,990"
2,Panama,"DEN 1,2,3",2017,Out,48,"8,119",198.07,"4,320",16,0.2,1,0.012,"4,099"
2,Panama,"DEN 1,3",2019,Out,48,"7,820",187.85,"4,553",10,0.13,3,0.038,"4,163"
2,Central America Ithsmus and Mexico,  ,2015,In,,"385,469",224.19,"42,492","6,518",1.69,62,0.016,"171,936"
2,Central America Ithsmus and Mexico,  ,2016,In,,"284,289",162.45,"25,588","1,333",0.47,53,0.019,"175,005"
2,Central America Ithsmus and Mexico,  ,2017,In,,"178,957",100.92,"21,718",559,0.31,51,0.028,"177,318"
2,Central America Ithsmus and Mexico,  ,2018,In,,"159,572",88.84,"20,473","1,770",1.11,72,0.045,"179,616"
2,Central America Ithsmus and Mexico,  ,2019,In,,"638,492",355.99,"57,346","23,833",3.73,420,0.066,"179,357"
2,Central America Ithsmus and Mexico,  ,2020,In,,"216,632",120.78,"27,560","2,832",1.31,75,0.035,"179,357"
3,Bolivia,"DEN 1,2",2019,Out,48,"14,259",127.13,"5,917",312,2.19,20,0.14,"11,216"
3,Bolivia,"DEN 1,2",2020,Out,48,"84,338",751.94,"14,421",220,0.26,32,0.038,"11,216"
3,Bolivia,"DEN 1,2,3",2018,Out,48,"6,079",54.2,629,22,0.36,1,0.016,"11,216"
3,Bolivia,"DEN 1,2,4",2016,Out,48,"31,116",285.78,"4,159",60,0.19,1,0.003,"10,888"
3,Bolivia,"DEN 1,4",2015,Out,48,"25,338",229.82,"2,122",80,0.32,0,0,"11,025"
3,Bolivia,"DEN 1,4",2017,Out,48,"9,627",87.11,895,63,0.65,2,0.021,"11,052"
3,Colombia,"DEN 1,2,3",2017,Out,48,"23,504",47.9,"6,784",214,0.91,15,0.064,"49,066"
3,Colombia,"DEN 1,2,3",2018,Out,48,"39,063",78.97,"4,063",461,1.18,21,0.054,"49,465"
3,Colombia,"DEN 1,2,3",2019,Out,48,"117,339",237.22,"34,124","1,274",1.09,78,0.066,"49,465"
