ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,12,0,,0,0,,0,,0
1,Canada,  ,2016,Out,12,0,,0,0,,0,,0
1,Canada,  ,2017,Out,12,0,,0,0,,0,,0
1,Canada,  ,2018,Out,12,0,,0,0,,0,,0
1,Canada,  ,2019,Out,12,0,,0,0,,0,,0
1,Canada,  ,2020,Out,12,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,12,292,0.09,292,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,12,60,0.02,60,1,1.67,0,0,"324,460"
1,United States of America,  ,2018,Out,12,24,0.01,24,0,0,0,0,"326,767"
1,United States of America,  ,2019,Out,12,61,0.02,61,0,0,0,0,"326,767"
1,United States of America,  ,2020,Out,12,77,0.02,77,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,12,106,0.03,106,0,0,0,0,"325,128"
1,North America,  ,2015,In,,106,0.03,106,0,0,0,0,"325,128"
1,North America,  ,2016,In,,292,0.09,292,0,0,0,0,"324,119"
1,North America,  ,2017,In,,60,0.02,60,1,1.67,0,0,"324,460"
1,North America,  ,2018,In,,24,0.01,24,0,0,0,0,"326,767"
1,North America,  ,2019,In,,61,0.02,61,0,0,0,0,"326,767"
1,North America,  ,2020,In,,77,0.02,77,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,12,641,167.8,106,0,0,0,0,382
2,Belize,"DEN 1,3",2020,Out,12,"1,270",332.46,260,0,0,0,0,382
2,Belize,DEN 2,2015,Out,12,861,247.41,63,,,,,348
2,Belize,DEN 2,2017,Out,12,"1,261",336.27,12,2,0.16,0,0,375
2,Belize,DEN 2,2018,Out,12,314,82.2,11,,,0,0,382
2,Belize,DEN 3,2016,Out,12,"1,419",386.65,77,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,12,"1,123",22.89,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,12,436,8.8,,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,12,497,10.03,14,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,12,"1,689",34.1,103,2,0.12,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,12,867,17.33,0,0,0,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,12,"6,238",128.43,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,12,"2,249",35,255,13,0.58,0,0,"6,426"
2,El Salvador,DEN 2,2016,Out,12,"3,021",49.15,52,73,2.42,0,0,"6,146"
2,El Salvador,DEN 2,2017,Out,12,845,13.25,30,0,0,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,12,855,13.33,30,0,0,0,0,"6,412"
2,El Salvador,DEN 2,2019,Out,12,"1,821",28.4,222,20,1.1,0,0,"6,412"
2,El Salvador,DEN 2,2020,Out,12,"2,185",34.08,19,4,0.18,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,12,"2,154",13.25,35,3,0.14,3,0.139,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,12,"1,851",11.1,243,0,0,0,0,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,11,578,3.42,,0,0,0,0,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,12,863,5,177,9,1.04,0,0,"17,245"
