ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,37,0,,0,0,,0,,0
1,Canada,  ,2016,Out,37,0,,0,0,,0,,0
1,Canada,  ,2017,Out,37,0,,0,0,,0,,0
1,Canada,  ,2018,Out,37,0,,0,0,,0,,0
1,Canada,  ,2019,Out,37,0,,0,0,,0,,0
1,Canada,  ,2020,Out,37,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,37,823,0.25,823,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,37,282,0.09,282,7,2.48,0,0,"324,460"
1,United States of America,  ,2018,Out,37,135,0.04,135,2,1.48,0,0,"326,767"
1,United States of America,  ,2019,Out,37,530,0.16,530,9,1.7,0,0,"326,767"
1,United States of America,  ,2020,Out,37,205,0.06,205,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,37,457,0.14,457,4,0.88,0,0,"325,128"
1,North America,  ,2015,In,,457,0.14,457,4,0.88,0,0,"325,128"
1,North America,  ,2016,In,,823,0.25,823,0,0,0,0,"324,119"
1,North America,  ,2017,In,,282,0.09,282,7,2.48,0,0,"324,460"
1,North America,  ,2018,In,,135,0.04,135,2,1.48,0,0,"326,767"
1,North America,  ,2019,In,,530,0.16,530,9,1.7,0,0,"326,767"
1,North America,  ,2020,In,,205,0.06,205,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,37,"6,756","1,768.59","1,675",53,0.78,0,0,382
2,Belize,"DEN 1,3",2020,Out,37,"2,111",552.62,319,0,0,0,0,382
2,Belize,DEN 2,2015,Out,37,"3,568","1,025.29",326,,,,,348
2,Belize,DEN 2,2017,Out,37,"2,657",708.53,31,2,0.08,0,0,375
2,Belize,DEN 2,2018,Out,37,"1,243",325.39,52,,,0,0,382
