ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,5,0,,0,0,,0,,0
1,Canada,  ,2016,Out,5,0,,0,0,,0,,0
1,Canada,  ,2017,Out,5,0,,0,0,,0,,0
1,Canada,  ,2018,Out,5,0,,0,0,,0,,0
1,Canada,  ,2019,Out,5,0,,0,0,,0,,0
1,Canada,  ,2020,Out,5,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,5,169,0.05,169,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,5,32,0.01,32,1,3.13,0,0,"324,460"
1,United States of America,  ,2018,Out,5,4,0,4,0,0,0,0,"326,767"
1,United States of America,  ,2019,Out,5,11,0,11,0,0,0,0,"326,767"
1,United States of America,  ,2020,Out,5,17,0.01,17,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,5,3,0,3,0,0,0,0,"325,128"
1,North America,  ,2015,In,,3,0,3,0,0,0,0,"325,128"
1,North America,  ,2016,In,,169,0.05,169,0,0,0,0,"324,119"
1,North America,  ,2017,In,,32,0.01,32,1,3.13,0,0,"324,460"
1,North America,  ,2018,In,,4,0,4,0,0,0,0,"326,767"
1,North America,  ,2019,In,,11,0,11,0,0,0,0,"326,767"
1,North America,  ,2020,In,,17,0.01,17,0,0,0,0,"326,767"
2,Belize,  ,2018,Out,5,80,20.94,1,,,0,0,382
2,Belize,"DEN 1,2",2019,Out,5,247,64.66,37,0,0,0,0,382
2,Belize,"DEN 1,3",2020,Out,5,561,146.86,117,0,0,0,0,382
2,Belize,DEN 2,2015,Out,5,426,122.41,29,,,,,348
2,Belize,DEN 2,2017,Out,5,431,114.93,3,1,0.23,0,0,375
2,Belize,DEN 3,2016,Out,5,686,186.92,47,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,5,686,13.98,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,5,193,3.9,,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,5,165,3.33,5,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,5,777,15.69,44,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,5,541,10.82,0,0,0,0,0,"5,002"
2,Costa Rica,"DEN1,2,3",2016,Out,5,"4,032",83.01,0,0,0,0,0,"4,857"
2,El Salvador,  ,2020,Out,5,904,14.1,6,0,0,0,0,"6,412"
2,El Salvador,"DEN 1,2,3",2015,Out,5,"1,368",21.29,62,1,0.07,0,0,"6,426"
2,El Salvador,DEN 2,2016,Out,5,"1,743",28.36,34,3,0.17,0,0,"6,146"
2,El Salvador,DEN 2,2017,Out,5,310,4.86,3,0,0,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,5,311,4.85,13,0,0,0,0,"6,412"
2,El Salvador,DEN 2,2019,Out,5,681,10.62,92,6,0.88,0,0,"6,412"
2,Guatemala,"DEN 1,2,3",2020,Out,5,"1,524",8.84,194,4,0.26,2,0.131,"17,245"
2,Guatemala,"DEN 1,2,3,4",2015,Out,5,"1,041",6.4,0,0,0,0,0,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,5,763,4.58,0,0,0,0,0,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,5,179,1.06,,0,0,0,0,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,5,383,2.22,97,6,1.57,0,0,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,5,819,4.75,102,15,1.83,5,0.611,"17,245"
2,Honduras,  ,2015,Out,5,"4,302",51.07,0,187,4.35,0,0,"8,424"
2,Honduras,  ,2020,Out,5,"5,849",63.87,5,501,8.57,6,0.103,"9,158"
2,Honduras,"DEN 1,2",2019,Out,5,"1,611",17.59,0,441,27.37,0,0,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,5,262,2.78,,16,6.11,0,0,"9,417"
2,Honduras,DEN 2,2016,Out,5,"3,557",43.43,0,74,2.08,0,0,"8,190"
2,Honduras,DEN 2,2017,Out,5,564,6.09,0,7,1.24,0,0,"9,265"
2,Mexico,"DEN 1,2",2018,Out,5,"1,295",0.99,70,0,0,0,0,"130,759"
2,Mexico,"DEN 1,2,3",2019,Out,5,"3,201",2.45,378,25,0.78,0,0,"130,759"
2,Mexico,"DEN 1,2,3",2020,Out,5,"8,146",6.23,673,62,0.76,0,0,"130,759"
2,Mexico,"DEN 1,2,3,4",2015,Out,5,"5,655",4.52,736,211,3.73,0,0,"125,236"
2,Mexico,DEN 3,2017,Out,5,"2,471",1.91,255,9,0.36,0,0,"129,163"
2,Mexico,"DEN1,2,3,4",2016,Out,5,"6,584",5.12,870,291,4.42,0,0,"128,632"
2,Nicaragua,DEN 2,2016,Out,5,"5,830",94.8,790,,,3,0.051,"6,150"
2,Nicaragua,DEN 2,2017,Out,5,"5,359",86.19,304,,,0,0,"6,218"
2,Nicaragua,DEN 2,2018,Out,5,"3,743",59.55,155,,,0,0,"6,285"
2,Nicaragua,DEN 2,2019,Out,5,"7,598",120.89,274,49,0.64,0,0,"6,285"
2,Nicaragua,DEN 2,2020,Out,5,"8,547",135.99,368,11,0.13,0,0,"6,285"
