ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,31,0,,0,0,,0,,0
1,Canada,  ,2016,Out,31,0,,0,0,,0,,0
1,Canada,  ,2017,Out,31,0,,0,0,,0,,0
1,Canada,  ,2018,Out,31,0,,0,0,,0,,0
1,Canada,  ,2019,Out,31,0,,0,0,,0,,0
1,Canada,  ,2020,Out,31,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,31,667,0.21,667,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,31,188,0.06,188,5,2.66,0,0,"324,460"
1,United States of America,  ,2018,Out,31,86,0.03,86,1,1.16,0,0,"326,767"
1,United States of America,  ,2019,Out,31,220,0.07,220,1,0.45,0,0,"326,767"
1,United States of America,  ,2020,Out,31,160,0.05,160,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,31,327,0.1,327,0,0,0,0,"325,128"
1,North America,  ,2015,In,,327,0.1,327,0,0,0,0,"325,128"
1,North America,  ,2016,In,,667,0.21,667,0,0,0,0,"324,119"
1,North America,  ,2017,In,,188,0.06,188,5,2.66,0,0,"324,460"
1,North America,  ,2018,In,,86,0.03,86,1,1.16,0,0,"326,767"
1,North America,  ,2019,In,,220,0.07,220,1,0.45,0,0,"326,767"
1,North America,  ,2020,In,,160,0.05,160,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,31,"3,196",836.65,730,0,0,0,0,382
2,Belize,"DEN 1,3",2020,Out,31,"1,943",508.64,317,0,0,0,0,382
2,Belize,DEN 2,2015,Out,31,"2,575",739.94,214,,,,,348
2,Belize,DEN 2,2017,Out,31,"2,310",616,22,2,0.09,0,0,375
2,Belize,DEN 2,2018,Out,31,942,246.6,30,,,0,0,382
2,Belize,DEN 3,2016,Out,31,"2,848",776.02,100,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,31,"3,604",73.46,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,31,"1,511",30.51,220,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,31,"3,656",73.81,148,2,0.05,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,31,"6,985",141.03,376,11,0.16,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,31,"3,566",71.29,0,6,0.17,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,31,"13,699",282.05,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,31,"17,325",269.61,"3,078",131,0.76,1,0.006,"6,426"
2,El Salvador,DEN 2,2016,Out,31,"6,619",107.7,86,153,2.31,1,0.015,"6,146"
2,El Salvador,DEN 2,2017,Out,31,"2,465",38.65,86,0,0,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,31,"3,420",53.34,271,11,0.32,0,0,"6,412"
2,El Salvador,DEN 2,2019,Out,31,"10,800",168.43,420,24,0.22,5,0.046,"6,412"
2,El Salvador,DEN 2,2020,Out,31,"4,062",63.35,35,8,0.2,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,31,"9,660",59.43,421,11,0.11,4,0.041,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,30,"4,713",28.27,326,28,0.59,0,0,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,31,"2,110",12.47,386,15,0.71,0,0,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,31,"3,766",21.84,"1,071",37,0.98,10,0.266,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,31,"17,005",98.61,840,82,0.48,48,0.282,"17,245"
2,Guatemala,"DEN 1,2,3,4",2020,Out,31,"4,876",28.27,663,16,0.33,9,0.185,"17,245"
2,Honduras,  ,2015,Out,31,"34,542",410.04,0,681,1.97,0,0,"8,424"
2,Honduras,"DEN 1,2",2019,Out,31,"49,326",538.61,89,"10,853",22,89,0.18,"9,158"
2,Honduras,"DEN 1,2",2020,Out,31,"18,271",199.51,75,"1,412",7.73,9,0.049,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,31,"4,579",48.62,,180,3.93,1,0.022,"9,417"
2,Honduras,DEN 2,2016,Out,31,"18,103",221.04,86,235,1.3,1,0.006,"8,190"
