ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,32,0,,0,0,,0,,0
1,Canada,  ,2016,Out,32,0,,0,0,,0,,0
1,Canada,  ,2017,Out,32,0,,0,0,,0,,0
1,Canada,  ,2018,Out,32,0,,0,0,,0,,0
1,Canada,  ,2019,Out,32,0,,0,0,,0,,0
1,Canada,  ,2020,Out,32,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,32,695,0.21,695,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,32,203,0.06,203,5,2.46,0,0,"324,460"
1,United States of America,  ,2018,Out,32,103,0.03,103,1,0.97,0,0,"326,767"
1,United States of America,  ,2019,Out,32,244,0.07,244,5,2.05,0,0,"326,767"
1,United States of America,  ,2020,Out,32,165,0.05,165,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,32,347,0.11,347,0,0,0,0,"325,128"
1,North America,  ,2015,In,,347,0.11,347,0,0,0,0,"325,128"
1,North America,  ,2016,In,,695,0.21,695,0,0,0,0,"324,119"
1,North America,  ,2017,In,,203,0.06,203,5,2.46,0,0,"324,460"
1,North America,  ,2018,In,,103,0.03,103,1,0.97,0,0,"326,767"
1,North America,  ,2019,In,,244,0.07,244,5,2.05,0,0,"326,767"
1,North America,  ,2020,In,,165,0.05,165,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,32,"3,558",931.41,798,53,1.49,0,0,382
2,Belize,"DEN 1,3",2020,Out,32,"1,965",514.4,318,0,0,0,0,382
2,Belize,DEN 2,2015,Out,32,"2,723",782.47,226,,,0,0,348
2,Belize,DEN 2,2017,Out,32,"2,364",630.4,23,2,0.08,0,0,375
2,Belize,DEN 2,2018,Out,32,970,253.93,30,,,0,0,382
2,Belize,DEN 3,2016,Out,32,"2,984",813.08,102,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,32,"3,773",76.91,,0,0,0,0,"4,906"
