ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,40,0,,0,0,,0,,0
1,Canada,  ,2016,Out,40,0,,0,0,,0,,0
1,Canada,  ,2017,Out,40,0,,0,0,,0,,0
1,Canada,  ,2018,Out,40,0,,0,0,,0,,0
1,Canada,  ,2019,Out,40,0,,0,0,,0,,0
1,Canada,  ,2020,Out,40,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,40,878,0.27,878,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,40,319,0.1,319,7,2.19,0,0,"324,460"
1,United States of America,  ,2018,Out,40,195,0.06,195,4,2.05,0,0,"326,767"
1,United States of America,  ,2019,Out,40,625,0.19,625,12,1.92,0,0,"326,767"
1,United States of America,  ,2020,Out,40,226,0.07,226,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,40,495,0.15,495,4,0.81,0,0,"325,128"
1,North America,  ,2015,In,,495,0.15,495,4,0.81,0,0,"325,128"
1,North America,  ,2016,In,,878,0.27,878,0,0,0,0,"324,119"
1,North America,  ,2017,In,,319,0.1,319,7,2.19,0,0,"324,460"
1,North America,  ,2018,In,,195,0.06,195,4,2.05,0,0,"326,767"
1,North America,  ,2019,In,,625,0.19,625,12,1.92,0,0,"326,767"
1,North America,  ,2020,In,,226,0.07,226,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,40,"8,319","2,177.75","2,064",84,1.01,0,0,382
2,Belize,"DEN 1,3",2020,Out,40,"2,225",582.46,320,0,0,0,0,382
2,Belize,DEN 2,2015,Out,40,"4,060","1,166.67",373,,,,,348
2,Belize,DEN 2,2017,Out,40,"2,760",736,35,2,0.07,0,0,375
2,Belize,DEN 2,2018,Out,40,"1,439",376.7,66,,,0,0,382
2,Belize,DEN 3,2016,Out,40,"4,174","1,137.33",120,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,40,"4,822",98.29,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,40,"2,006",40.5,265,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,40,"6,642",134.1,283,2,0.03,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,40,"9,003",181.77,426,20,0.22,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,40,"7,750",154.94,0,6,0.08,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,40,"19,319",397.76,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,40,"35,863",558.09,"8,305",293,0.82,2,0.006,"6,426"
2,El Salvador,DEN 2,2016,Out,40,"7,644",124.37,109,182,2.38,1,0.013,"6,146"
2,El Salvador,DEN 2,2017,Out,40,"3,295",51.66,172,4,0.12,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,40,"6,206",96.79,590,76,1.22,1,0.016,"6,412"
2,El Salvador,DEN 2,2019,Out,40,"22,390",349.19,700,105,0.47,12,0.054,"6,412"
2,El Salvador,DEN 2,2020,Out,40,"4,702",73.33,35,9,0.19,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,35,"12,281",75.55,468,16,0.13,5,0.041,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,40,"7,649",45.88,330,40,0.52,1,0.013,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,40,"3,205",18.95,"1,010",33,1.03,13,0.406,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,40,"5,495",31.86,"1,672",59,1.07,15,0.273,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,40,"39,490",228.99,"1,071",108,0.27,64,0.162,"17,245"
2,Guatemala,"DEN 1,2,3,4",2020,Out,40,"5,468",31.71,780,17,0.31,9,0.165,"17,245"
2,Honduras,  ,2015,Out,40,"39,174",465.03,0,823,2.1,0,0,"8,424"
2,Honduras,"DEN 1,2",2019,Out,40,"86,705",946.77,148,"16,960",19.56,148,0.171,"9,158"
2,Honduras,"DEN 1,2",2020,Out,40,"21,869",238.8,75,"1,593",7.28,9,0.041,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,40,"5,468",58.07,,351,6.42,1,0.018,"9,417"
2,Honduras,DEN 2,2016,Out,40,"20,785",253.79,76,270,1.3,2,0.01,"8,190"
2,Honduras,DEN 2,2017,Out,40,"4,558",49.2,0,91,2,0,0,"9,265"
2,Mexico,"DEN 1,2,3",2017,Out,40,"53,748",41.61,"8,449",246,0.46,17,0.032,"129,163"
2,Mexico,"DEN 1,2,3,4",2015,Out,40,"157,365",125.65,"16,701","3,249",2.06,22,0.014,"125,236"
2,Mexico,"DEN 1,2,3,4",2016,Out,40,"94,527",73.49,"11,248",609,0.64,11,0.012,"128,632"
2,Mexico,"DEN 1,2,3,4",2018,Out,40,"44,048",33.69,"6,678",484,1.1,22,0.05,"130,759"
2,Mexico,"DEN 1,2,3,4",2019,Out,40,"145,916",111.59,"22,992","1,664",1.14,72,0.049,"130,759"
2,Mexico,"DEN 1,2,3,4",2020,Out,40,"75,552",57.78,"13,535",680,0.9,28,0.037,"130,759"
2,Nicaragua,DEN 2,2016,Out,40,"73,123","1,188.99","5,586",,,16,0.022,"6,150"
2,Nicaragua,DEN 2,2017,Out,40,"53,380",858.48,"2,020",,,2,0.004,"6,218"
2,Nicaragua,DEN 2,2018,Out,40,"39,010",620.68,"1,207",,,2,0.005,"6,285"
2,Nicaragua,DEN 2,2019,Out,40,"131,927","2,099.08","7,341",872,0.66,20,0.015,"6,285"
2,Nicaragua,DEN 2,2020,Out,40,"40,091",637.88,998,49,0.12,1,0.002,"6,285"
2,Nicaragua,"DEN 2,3",2015,Out,40,"30,451",486.67,"1,663",7,0.02,7,0.023,"6,257"
2,Panama,DEN 1,2020,Out,40,"3,674",88.25,"1,820",12,0.33,5,0.136,"4,163"
2,Panama,"DEN 1,2",2018,Out,40,"5,214",125.25,"3,164",7,0.13,3,0.058,"4,163"
2,Panama,"DEN 1,2,3",2015,Out,40,"1,825",45.76,"1,104",3,0.16,1,0.055,"3,988"
2,Panama,"DEN 1,2,3",2016,Out,40,"4,241",106.29,"1,200",12,0.28,9,0.212,"3,990"
2,Panama,"DEN 1,2,3",2017,Out,40,"6,147",149.96,"3,231",13,0.21,0,0,"4,099"
2,Panama,"DEN 1,3",2019,Out,40,"4,718",113.33,"2,824",10,0.21,3,0.064,"4,163"
2,Central America Ithsmus and Mexico,  ,2015,In,,"288,769",167.95,"28,614","4,397",1.52,37,0.013,"171,936"
2,Central America Ithsmus and Mexico,  ,2016,In,,"231,462",132.26,"18,669","1,113",0.48,40,0.017,"175,005"
