ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,4,0,,0,0,,0,,0
1,Canada,  ,2016,Out,4,0,,0,0,,0,,0
1,Canada,  ,2017,Out,4,0,,0,0,,0,,0
1,Canada,  ,2018,Out,4,0,,0,0,,0,,0
1,Canada,  ,2019,Out,4,0,,0,0,,0,,0
1,Canada,  ,2020,Out,4,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,4,148,0.05,148,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,4,31,0.01,31,1,3.23,0,0,"324,460"
1,United States of America,  ,2018,Out,4,3,0,3,0,0,0,0,"326,767"
1,United States of America,  ,2019,Out,4,5,0,5,0,0,0,0,"326,767"
1,United States of America,  ,2020,Out,4,9,0,9,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,4,3,0,3,0,0,0,0,"325,128"
1,North America,  ,2015,In,,3,0,3,0,0,0,0,"325,128"
1,North America,  ,2016,In,,148,0.05,148,0,0,0,0,"324,119"
1,North America,  ,2017,In,,31,0.01,31,1,3.23,0,0,"324,460"
1,North America,  ,2018,In,,3,0,3,0,0,0,0,"326,767"
1,North America,  ,2019,In,,5,0,5,0,0,0,0,"326,767"
1,North America,  ,2020,In,,9,0,9,0,0,0,0,"326,767"
2,Belize,  ,2018,Out,4,66,17.28,1,,,0,0,382
2,Belize,"DEN 1,2",2019,Out,4,189,49.48,26,0,0,0,0,382
2,Belize,"DEN 1,3",2020,Out,4,453,118.59,108,0,0,0,0,382
2,Belize,DEN 2,2015,Out,4,372,106.9,25,,,,,348
2,Belize,DEN 2,2017,Out,4,332,88.53,3,1,0.3,0,0,375
2,Belize,DEN 3,2016,Out,4,563,153.41,38,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,4,602,12.27,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,4,149,3.01,,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,4,130,2.62,4,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,4,598,12.07,31,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,4,462,9.24,0,0,0,0,0,"5,002"
