ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,34,0,,0,0,,0,,0
1,Canada,  ,2016,Out,34,0,,0,0,,0,,0
1,Canada,  ,2017,Out,34,0,,0,0,,0,,0
1,Canada,  ,2018,Out,34,0,,0,0,,0,,0
1,Canada,  ,2019,Out,34,0,,0,0,,0,,0
1,Canada,  ,2020,Out,34,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,34,759,0.23,759,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,34,234,0.07,234,7,2.99,0,0,"324,460"
1,United States of America,  ,2018,Out,34,111,0.03,111,1,0.9,0,0,"326,767"
1,United States of America,  ,2019,Out,34,336,0.1,336,5,1.49,0,0,"326,767"
1,United States of America,  ,2020,Out,34,194,0.06,194,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,34,384,0.12,384,3,0.78,0,0,"325,128"
1,North America,  ,2015,In,,384,0.12,384,3,0.78,0,0,"325,128"
1,North America,  ,2016,In,,759,0.23,759,0,0,0,0,"324,119"
1,North America,  ,2017,In,,234,0.07,234,7,2.99,0,0,"324,460"
1,North America,  ,2018,In,,111,0.03,111,1,0.9,0,0,"326,767"
1,North America,  ,2019,In,,336,0.1,336,5,1.49,0,0,"326,767"
1,North America,  ,2020,In,,194,0.06,194,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,34,"4,913","1,286.13","1,173",53,1.08,0,0,382
2,Belize,"DEN 1,3",2020,Out,34,"2,039",533.77,318,0,0,0,0,382
2,Belize,DEN 2,2015,Out,34,"3,030",870.69,262,,,,,348
2,Belize,DEN 2,2017,Out,34,"2,493",664.8,23,2,0.08,0,0,375
2,Belize,DEN 2,2018,Out,34,"1,069",279.84,39,,,0,0,382
2,Belize,DEN 3,2016,Out,34,"3,303",900,109,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,34,"4,100",83.57,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,34,"1,713",34.59,265,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,34,"4,669",94.27,192,2,0.04,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,34,"7,999",161.5,408,18,0.23,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,34,"4,816",96.28,0,6,0.12,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,34,"15,949",328.37,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,34,"23,203",361.08,"5,998",193,0.83,1,0.004,"6,426"
2,El Salvador,DEN 2,2016,Out,34,"6,957",113.2,95,171,2.46,1,0.014,"6,146"
2,El Salvador,DEN 2,2017,Out,34,"2,709",42.47,121,3,0.11,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,34,"4,230",65.97,370,27,0.64,1,0.024,"6,412"
2,El Salvador,DEN 2,2019,Out,34,"15,278",238.27,662,95,0.62,5,0.033,"6,412"
2,El Salvador,DEN 2,2020,Out,34,"4,231",65.99,37,8,0.19,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,33,"11,214",68.99,491,14,0.12,4,0.036,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,33,"5,847",35.07,330,35,0.6,0,0,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,33,"2,463",14.56,386,15,0.61,0,0,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,34,"4,350",25.22,"1,282",44,1.01,11,0.253,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,34,"25,954",150.5,992,98,0.38,57,0.22,"17,245"
2,Guatemala,"DEN 1,2,3,4",2020,Out,34,"5,092",29.53,703,16,0.31,9,0.177,"17,245"
2,Honduras,  ,2015,Out,34,"36,899",438.02,0,730,1.98,0,0,"8,424"
2,Honduras,"DEN 1,2",2019,Out,34,"66,595",727.18,117,"13,648",20.49,117,0.176,"9,158"
2,Honduras,"DEN 1,2",2020,Out,34,"19,299",210.73,75,"1,470",7.62,9,0.047,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,34,"4,830",51.29,,224,4.64,1,0.021,"9,417"
2,Honduras,DEN 2,2016,Out,33,"18,881",230.54,64,238,1.26,2,0.011,"8,190"
2,Honduras,DEN 2,2017,Out,34,"4,097",44.22,0,77,1.88,0,0,"9,265"
2,Mexico,"DEN 1,2,3",2017,Out,34,"30,519",23.63,"4,399",168,0.55,9,0.029,"129,163"
2,Mexico,"DEN 1,2,3,4",2015,Out,34,"107,034",85.47,"11,099","2,127",1.99,11,0.01,"125,236"
2,Mexico,"DEN 1,2,3,4",2016,Out,34,"62,021",48.22,"7,497",474,0.76,10,0.016,"128,632"
2,Mexico,"DEN 1,2,3,4",2018,Out,34,"25,153",19.24,"3,196",227,0.9,9,0.036,"130,759"
2,Mexico,"DEN 1,2,3,4",2019,Out,34,"63,911",48.88,"10,211",699,1.09,28,0.044,"130,759"
2,Mexico,"DEN 1,2,3,4",2020,Out,34,"52,203",39.92,"7,671",485,0.93,28,0.054,"130,759"
2,Nicaragua,DEN 2,2016,Out,34,"63,391","1,030.75","4,922",,,15,0.024,"6,150"
2,Nicaragua,DEN 2,2017,Out,34,"46,995",755.79,"1,790",,,2,0.004,"6,218"
2,Nicaragua,DEN 2,2018,Out,34,"27,667",440.21,847,,,2,0.007,"6,285"
2,Nicaragua,DEN 2,2019,Out,34,"85,671","1,363.10","4,464",512,0.6,12,0.014,"6,285"
2,Nicaragua,DEN 2,2020,Out,34,"34,582",550.23,836,45,0.13,0,0,"6,285"
2,Nicaragua,"DEN 2,3",2015,Out,34,"24,111",385.34,951,4,0.02,4,0.017,"6,257"
2,Panama,DEN 1,2020,Out,34,"3,543",85.11,"1,751",12,0.34,3,0.085,"4,163"
2,Panama,"DEN 1,2",2017,Out,34,"4,750",115.88,"2,451",9,0.19,0,0,"4,099"
2,Panama,"DEN 1,2",2018,Out,34,"4,334",104.11,"2,654",7,0.16,3,0.069,"4,163"
2,Panama,"DEN 1,2,3",2015,Out,34,"1,456",36.51,913,2,0.14,1,0.069,"3,988"
2,Panama,"DEN 1,2,3",2016,Out,34,"3,166",79.35,866,8,0.25,7,0.221,"3,990"
2,Panama,"DEN 1,3",2019,Out,34,"3,049",73.24,"1,766",7,0.23,3,0.098,"4,163"
2,Central America Ithsmus and Mexico,  ,2015,In,,"211,763",123.16,"19,714","3,076",1.45,21,0.01,"171,936"
2,Central America Ithsmus and Mexico,  ,2016,In,,"179,515",102.58,"13,883",926,0.52,35,0.019,"175,005"
2,Central America Ithsmus and Mexico,  ,2017,In,,"98,126",55.34,"9,170",274,0.28,11,0.011,"177,318"
2,Central America Ithsmus and Mexico,  ,2018,In,,"73,346",40.83,"8,653",529,0.72,27,0.037,"179,616"
2,Central America Ithsmus and Mexico,  ,2019,In,,"270,040",150.56,"19,577","15,114",5.6,222,0.082,"179,357"
2,Central America Ithsmus and Mexico,  ,2020,In,,"128,988",71.92,"11,799","2,054",1.59,49,0.038,"179,357"
3,Bolivia,"DEN 1,2",2019,Out,34,"10,830",96.56,"4,477",144,1.33,18,0.166,"11,216"
3,Bolivia,"DEN 1,2",2020,Out,34,"83,522",744.67,"14,192",217,0.26,32,0.038,"11,216"
3,Bolivia,"DEN 1,2,3",2018,Out,34,"4,953",44.16,381,16,0.32,0,0,"11,216"
3,Bolivia,"DEN 1,2,4",2016,Out,34,"29,335",269.43,"3,687",52,0.18,1,0.003,"10,888"
3,Bolivia,"DEN 1,4",2015,Out,34,"22,558",204.61,"1,838",73,0.32,0,0,"11,025"
3,Bolivia,"DEN 1,4",2017,Out,34,"8,948",80.96,857,61,0.68,2,0.022,"11,052"
3,Colombia,"DEN 1,2,3",2017,Out,34,"17,646",35.96,"6,460",146,0.83,12,0.068,"49,066"
3,Colombia,"DEN 1,2,3",2018,Out,34,"22,213",44.91,"4,063",250,1.13,10,0.045,"49,465"
