ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,33,0,,0,0,,0,,0
1,Canada,  ,2016,Out,33,0,,0,0,,0,,0
1,Canada,  ,2017,Out,33,0,,0,0,,0,,0
1,Canada,  ,2018,Out,33,0,,0,0,,0,,0
1,Canada,  ,2019,Out,33,0,,0,0,,0,,0
1,Canada,  ,2020,Out,33,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,33,729,0.22,729,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,33,220,0.07,220,6,2.73,0,0,"324,460"
1,United States of America,  ,2018,Out,33,106,0.03,106,1,0.94,0,0,"326,767"
1,United States of America,  ,2019,Out,33,295,0.09,295,5,1.69,0,0,"326,767"
1,United States of America,  ,2020,Out,33,186,0.06,186,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,33,362,0.11,362,3,0.83,0,0,"325,128"
1,North America,  ,2015,In,,362,0.11,362,3,0.83,0,0,"325,128"
1,North America,  ,2016,In,,729,0.22,729,0,0,0,0,"324,119"
1,North America,  ,2017,In,,220,0.07,220,6,2.73,0,0,"324,460"
1,North America,  ,2018,In,,106,0.03,106,1,0.94,0,0,"326,767"
1,North America,  ,2019,In,,295,0.09,295,5,1.69,0,0,"326,767"
1,North America,  ,2020,In,,186,0.06,186,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,33,"4,123","1,079.32",945,53,1.29,0,0,382
2,Belize,"DEN 1,3",2020,Out,33,"2,001",523.82,318,0,0,0,0,382
2,Belize,DEN 2,2015,Out,33,"2,855",820.4,237,,,,,348
2,Belize,DEN 2,2017,Out,33,"2,417",644.53,23,2,0.08,0,0,375
2,Belize,DEN 2,2018,Out,33,"1,017",266.23,34,,,0,0,382
2,Belize,DEN 3,2016,Out,33,"3,142",856.13,106,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,33,"3,929",80.09,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,33,"1,646",33.23,265,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,33,"4,288",86.57,172,2,0.05,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,33,"7,745",156.37,398,11,0.14,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,33,"4,387",87.7,0,6,0.14,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,33,"15,140",311.72,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,33,"21,636",336.69,"5,265",162,0.75,1,0.005,"6,426"
2,El Salvador,DEN 2,2016,Out,33,"6,837",111.24,91,160,2.34,1,0.015,"6,146"
2,El Salvador,DEN 2,2017,Out,33,"2,631",41.25,106,3,0.11,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,33,"3,933",61.34,333,21,0.53,0,0,"6,412"
2,El Salvador,DEN 2,2019,Out,33,"14,106",219.99,601,97,0.69,5,0.035,"6,412"
2,El Salvador,DEN 2,2020,Out,33,"4,182",65.22,35,8,0.19,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,33,"11,214",68.99,491,14,0.12,4,0.036,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,33,"5,847",35.07,330,35,0.6,0,0,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,33,"2,463",14.56,386,15,0.61,0,0,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,33,"4,167",24.16,"1,227",42,1.01,11,0.264,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,33,"23,017",133.47,942,95,0.41,56,0.243,"17,245"
2,Guatemala,"DEN 1,2,3,4",2020,Out,33,"5,016",29.09,694,16,0.32,9,0.179,"17,245"
2,Honduras,  ,2015,Out,33,"36,232",430.1,0,708,1.95,0,0,"8,424"
2,Honduras,"DEN 1,2",2019,Out,33,"61,534",671.92,106,"12,735",20.7,106,0.172,"9,158"
2,Honduras,"DEN 1,2",2020,Out,33,"18,964",207.08,75,"1,452",7.66,9,0.047,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,33,"4,748",50.42,,213,4.49,1,0.021,"9,417"
2,Honduras,DEN 2,2016,Out,33,"18,881",230.54,64,238,1.26,2,0.011,"8,190"
2,Honduras,DEN 2,2017,Out,33,"3,974",42.89,0,73,1.84,0,0,"9,265"
2,Mexico,"DEN 1,2,3",2017,Out,33,"28,302",21.91,"3,945",154,0.54,9,0.032,"129,163"
2,Mexico,"DEN 1,2,3,4",2015,Out,33,"98,761",78.86,"10,434","2,011",2.04,11,0.011,"125,236"
2,Mexico,"DEN 1,2,3,4",2016,Out,33,"56,701",44.08,"6,986",442,0.78,10,0.018,"128,632"
2,Mexico,"DEN 1,2,3,4",2018,Out,33,"23,211",17.75,"2,827",197,0.85,9,0.039,"130,759"
2,Mexico,"DEN 1,2,3,4",2019,Out,33,"55,774",42.65,"8,973",638,1.14,28,0.05,"130,759"
2,Mexico,"DEN 1,2,3,4",2020,Out,33,"49,484",37.84,"7,278",465,0.94,17,0.034,"130,759"
2,Nicaragua,DEN 2,2016,Out,33,"60,999",991.85,"4,800",,,15,0.025,"6,150"
2,Nicaragua,DEN 2,2017,Out,33,"45,587",733.15,"1,740",,,2,0.004,"6,218"
2,Nicaragua,DEN 2,2018,Out,33,"26,148",416.04,744,,,1,0.004,"6,285"
2,Nicaragua,DEN 2,2019,Out,33,"77,205","1,228.40","3,992",425,0.55,9,0.012,"6,285"
2,Nicaragua,DEN 2,2020,Out,33,"33,716",536.45,815,42,0.12,0,0,"6,285"
2,Nicaragua,"DEN 2,3",2015,Out,33,"22,117",353.48,781,3,0.01,3,0.014,"6,257"
2,Panama,DEN 1,2020,Out,33,"3,517",84.48,"1,739",12,0.34,3,0.085,"4,163"
2,Panama,"DEN 1,2",2017,Out,33,"4,568",111.44,"2,361",9,0.2,0,0,"4,099"
