ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,15,0,,0,0,,0,,0
1,Canada,  ,2016,Out,15,0,,0,0,,0,,0
1,Canada,  ,2017,Out,15,0,,0,0,,0,,0
1,Canada,  ,2018,Out,15,0,,0,0,,0,,0
1,Canada,  ,2019,Out,15,0,,0,0,,0,,0
1,Canada,  ,2020,Out,15,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,15,332,0.1,332,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,15,64,0.02,64,1,1.56,0,0,"324,460"
1,United States of America,  ,2018,Out,15,31,0.01,31,0,0,0,0,"326,767"
1,United States of America,  ,2019,Out,15,83,0.03,83,0,0,0,0,"326,767"
1,United States of America,  ,2020,Out,15,83,0.03,83,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,15,128,0.04,128,0,0,0,0,"325,128"
1,North America,  ,2015,In,,128,0.04,128,0,0,0,0,"325,128"
1,North America,  ,2016,In,,332,0.1,332,0,0,0,0,"324,119"
1,North America,  ,2017,In,,64,0.02,64,1,1.56,0,0,"324,460"
1,North America,  ,2018,In,,31,0.01,31,0,0,0,0,"326,767"
1,North America,  ,2019,In,,83,0.03,83,0,0,0,0,"326,767"
1,North America,  ,2020,In,,83,0.03,83,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,15,801,209.69,134,0,0,0,0,382
2,Belize,"DEN 1,3",2020,Out,15,"1,469",384.55,283,0,0,0,0,382
2,Belize,DEN 2,2015,Out,15,"1,014",291.38,80,,,,,348
2,Belize,DEN 2,2017,Out,15,"1,459",389.07,14,2,0.14,0,0,375
2,Belize,DEN 2,2018,Out,15,389,101.83,12,,,0,0,382
2,Belize,DEN 3,2016,Out,15,"1,685",459.13,80,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,15,"1,302",26.54,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,15,548,11.06,97,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,15,631,12.74,22,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,15,"1,959",39.55,121,2,0.1,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,15,982,19.63,0,0,0,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,15,"6,680",137.53,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,15,"2,912",45.32,455,15,0.52,0,0,"6,426"
2,El Salvador,DEN 2,2016,Out,15,"3,439",55.96,60,79,2.3,0,0,"6,146"
2,El Salvador,DEN 2,2017,Out,15,"1,083",16.98,32,0,0,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,15,"1,085",16.92,35,0,0,0,0,"6,412"
2,El Salvador,DEN 2,2019,Out,15,"2,305",35.95,262,20,0.87,0,0,"6,412"
2,El Salvador,DEN 2,2020,Out,15,"2,440",38.05,20,4,0.16,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,15,"2,572",15.82,55,4,0.16,3,0.117,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,15,"2,057",12.34,326,0,0,0,0,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,11,578,3.42,,0,0,0,0,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,15,"1,157",6.71,254,11,0.95,1,0.086,"17,245"
