ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,38,0,,0,0,,0,,0
1,Canada,  ,2016,Out,38,0,,0,0,,0,,0
1,Canada,  ,2017,Out,38,0,,0,0,,0,,0
1,Canada,  ,2018,Out,38,0,,0,0,,0,,0
1,Canada,  ,2019,Out,38,0,,0,0,,0,,0
1,Canada,  ,2020,Out,38,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,38,849,0.26,849,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,38,297,0.09,297,7,2.36,0,0,"324,460"
1,United States of America,  ,2018,Out,38,150,0.05,150,3,2,0,0,"326,767"
1,United States of America,  ,2019,Out,38,566,0.17,566,9,1.59,0,0,"326,767"
1,United States of America,  ,2020,Out,38,212,0.06,212,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,38,474,0.15,474,4,0.84,0,0,"325,128"
1,North America,  ,2015,In,,474,0.15,474,4,0.84,0,0,"325,128"
1,North America,  ,2016,In,,849,0.26,849,0,0,0,0,"324,119"
1,North America,  ,2017,In,,297,0.09,297,7,2.36,0,0,"324,460"
1,North America,  ,2018,In,,150,0.05,150,3,2,0,0,"326,767"
1,North America,  ,2019,In,,566,0.17,566,9,1.59,0,0,"326,767"
1,North America,  ,2020,In,,212,0.06,212,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,38,"7,261","1,900.79","1,825",53,0.73,0,0,382
2,Belize,"DEN 1,3",2020,Out,38,"2,144",561.26,320,0,0,0,0,382
2,Belize,DEN 2,2015,Out,38,"3,722","1,069.54",340,,,,,348
2,Belize,DEN 2,2017,Out,38,"2,693",718.13,33,2,0.07,0,0,375
2,Belize,DEN 2,2018,Out,38,"1,316",344.5,57,,,0,0,382
2,Belize,DEN 3,2016,Out,38,"3,911","1,065.67",120,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,38,"4,632",94.42,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,38,"1,919",38.74,265,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,38,"6,001",121.16,246,2,0.03,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,38,"8,738",176.42,426,19,0.22,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,38,"6,659",133.13,0,6,0.09,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,38,"18,345",377.7,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,38,"31,907",496.53,"7,762",267,0.84,2,0.006,"6,426"
2,El Salvador,DEN 2,2016,Out,38,"7,832",127.43,104,180,2.3,1,0.013,"6,146"
2,El Salvador,DEN 2,2017,Out,38,"3,117",48.87,154,4,0.13,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,38,"5,571",86.88,524,60,1.08,1,0.018,"6,412"
2,El Salvador,DEN 2,2019,Out,38,"20,265",316.05,694,105,0.52,7,0.035,"6,412"
2,El Salvador,DEN 2,2020,Out,38,"4,540",70.8,35,9,0.2,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,35,"12,281",75.55,468,16,0.13,5,0.041,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,38,"7,179",43.06,330,39,0.54,1,0.014,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,38,"2,923",17.28,658,30,1.03,9,0.308,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,38,"5,116",29.67,"1,532",52,1.02,15,0.293,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,38,"35,606",206.47,"1,068",106,0.3,63,0.177,"17,245"
2,Guatemala,"DEN 1,2,3,4",2020,Out,38,"5,332",30.92,756,16,0.3,9,0.169,"17,245"
2,Honduras,  ,2015,Out,38,"38,590",458.1,0,791,2.05,0,0,"8,424"
2,Honduras,"DEN 1,2",2019,Out,38,"81,854",893.8,144,"16,162",19.74,144,0.176,"9,158"
2,Honduras,"DEN 1,2",2020,Out,38,"20,988",229.18,75,"1,548",7.38,9,0.043,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,38,"5,252",55.77,,298,5.67,1,0.019,"9,417"
2,Honduras,DEN 2,2016,Out,38,"20,320",248.11,76,262,1.29,2,0.01,"8,190"
2,Honduras,DEN 2,2017,Out,38,"4,448",48.01,0,82,1.84,0,0,"9,265"
2,Mexico,"DEN 1,2,3",2017,Out,38,"44,897",34.76,"6,928",227,0.51,17,0.038,"129,163"
2,Mexico,"DEN 1,2,3,4",2015,Out,38,"139,966",111.76,"14,935","2,870",2.05,19,0.014,"125,236"
2,Mexico,"DEN 1,2,3,4",2016,Out,38,"83,631",65.02,"10,008",569,0.68,11,0.013,"128,632"
2,Mexico,"DEN 1,2,3,4",2018,Out,38,"36,101",27.61,"5,110",383,1.06,15,0.042,"130,759"
2,Mexico,"DEN 1,2,3,4",2019,Out,38,"112,991",86.41,"18,320","1,279",1.13,43,0.038,"130,759"
2,Mexico,"DEN 1,2,3,4",2020,Out,38,"65,793",50.32,"11,228",615,0.93,28,0.043,"130,759"
2,Nicaragua,DEN 2,2016,Out,38,"70,085","1,139.59","5,326",,,16,0.023,"6,150"
2,Nicaragua,DEN 2,2017,Out,38,"51,441",827.29,"1,929",,,2,0.004,"6,218"
2,Nicaragua,DEN 2,2018,Out,38,"35,201",560.08,"1,127",,,2,0.006,"6,285"
2,Nicaragua,DEN 2,2019,Out,38,"117,250","1,865.55","6,500",759,0.65,20,0.017,"6,285"
2,Nicaragua,DEN 2,2020,Out,38,"38,023",604.98,943,48,0.13,1,0.003,"6,285"
2,Nicaragua,"DEN 2,3",2015,Out,38,"28,996",463.42,"1,423",6,0.02,6,0.021,"6,257"
2,Panama,DEN 1,2020,Out,38,"3,626",87.1,"1,799",12,0.33,4,0.11,"4,163"
2,Panama,"DEN 1,2",2018,Out,38,"4,876",117.13,"2,971",7,0.14,3,0.062,"4,163"
