ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,16,0,,0,0,,0,,0
1,Canada,  ,2016,Out,16,0,,0,0,,0,,0
1,Canada,  ,2017,Out,16,0,,0,0,,0,,0
1,Canada,  ,2018,Out,16,0,,0,0,,0,,0
1,Canada,  ,2019,Out,16,0,,0,0,,0,,0
1,Canada,  ,2020,Out,16,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,16,342,0.11,342,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,16,67,0.02,67,1,1.49,0,0,"324,460"
1,United States of America,  ,2018,Out,16,32,0.01,32,0,0,0,0,"326,767"
1,United States of America,  ,2019,Out,16,86,0.03,86,0,0,0,0,"326,767"
1,United States of America,  ,2020,Out,16,84,0.03,84,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,16,137,0.04,137,0,0,0,0,"325,128"
1,North America,  ,2015,In,,137,0.04,137,0,0,0,0,"325,128"
1,North America,  ,2016,In,,342,0.11,342,0,0,0,0,"324,119"
1,North America,  ,2017,In,,67,0.02,67,1,1.49,0,0,"324,460"
1,North America,  ,2018,In,,32,0.01,32,0,0,0,0,"326,767"
1,North America,  ,2019,In,,86,0.03,86,0,0,0,0,"326,767"
1,North America,  ,2020,In,,84,0.03,84,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,16,829,217.02,136,0,0,0,0,382
2,Belize,"DEN 1,3",2020,Out,16,"1,494",391.1,288,0,0,0,0,382
2,Belize,DEN 2,2015,Out,16,"1,103",316.95,96,,,0,0,348
2,Belize,DEN 2,2017,Out,16,"1,512",403.2,15,2,0.13,0,0,375
2,Belize,DEN 2,2018,Out,16,420,109.95,12,,,0,0,382
2,Belize,DEN 3,2016,Out,16,"1,768",481.74,83,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,16,"1,350",27.52,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,16,590,11.91,104,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,16,677,13.67,23,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,16,"2,100",42.4,130,2,0.1,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,16,"1,017",20.33,0,0,0,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,16,"6,819",140.4,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,16,"3,192",49.67,512,16,0.5,0,0,"6,426"
2,El Salvador,DEN 2,2016,Out,16,"3,876",63.07,60,79,2.04,0,0,"6,146"
2,El Salvador,DEN 2,2017,Out,16,"1,140",17.87,33,0,0,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,16,"1,177",18.36,39,0,0,0,0,"6,412"
2,El Salvador,DEN 2,2019,Out,16,"2,433",37.94,262,20,0.82,0,0,"6,412"
2,El Salvador,DEN 2,2020,Out,16,"2,529",39.44,20,4,0.16,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,16,"2,835",17.44,55,7,0.25,6,0.212,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,16,"2,152",12.91,326,0,0,0,0,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,16,862,5.1,,0,0,0,0,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,16,"1,289",7.47,278,12,0.93,2,0.155,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,16,"2,657",15.41,206,28,1.05,12,0.452,"17,245"
2,Guatemala,"DEN 1,2,3,4",2020,Out,16,"3,465",20.09,437,11,0.32,6,0.173,"17,245"
2,Honduras,  ,2015,Out,16,"12,939",153.6,0,412,3.18,0,0,"8,424"
2,Honduras,"DEN 1,2",2019,Out,16,"8,358",91.26,9,"2,058",24.62,9,0.108,"9,158"
2,Honduras,"DEN 1,2",2020,Out,16,"12,124",132.39,21,"1,045",8.62,9,0.074,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,16,"2,034",21.6,,95,4.67,0,0,"9,417"
2,Honduras,DEN 2,2016,Out,16,"8,882",108.45,0,160,1.8,1,0.011,"8,190"
2,Honduras,DEN 2,2017,Out,16,"1,565",16.89,0,30,1.92,0,0,"9,265"
2,Mexico,"DEN 1,2,3",2017,Out,16,"8,701",6.74,902,39,0.45,1,0.011,"129,163"
2,Mexico,"DEN 1,2,3",2018,Out,16,"5,922",4.53,423,39,0.66,1,0.017,"130,759"
2,Mexico,"DEN 1,2,3,4",2015,Out,16,"19,779",15.79,"2,790",615,3.11,0,0,"125,236"
2,Mexico,"DEN 1,2,3,4",2016,Out,16,"22,805",17.73,"3,160",824,3.61,1,0.004,"128,632"
2,Mexico,"DEN 1,2,3,4",2019,Out,16,"12,114",9.26,"1,484",105,0.87,3,0.025,"130,759"
2,Mexico,"DEN 1,2,3,4",2020,Out,16,"21,512",16.45,"2,583",282,1.31,1,0.005,"130,759"
2,Nicaragua,DEN 2,2016,Out,16,"15,157",246.46,"1,681",,,8,0.053,"6,150"
2,Nicaragua,DEN 2,2017,Out,16,"18,264",293.73,947,,,1,0.005,"6,218"
2,Nicaragua,DEN 2,2018,Out,16,"12,994",206.75,358,,,0,0,"6,285"
2,Nicaragua,DEN 2,2019,Out,16,"20,964",333.56,692,108,0.52,1,0.005,"6,285"
2,Nicaragua,DEN 2,2020,Out,16,"21,585",343.44,607,25,0.12,0,0,"6,285"
2,Nicaragua,"DEN 2,3",2015,Out,16,"8,484",135.59,116,0,0,0,0,"6,257"
2,Panama,DEN 1,2020,Out,16,"2,880",69.18,"1,480",11,0.38,2,0.069,"4,163"
2,Panama,"DEN 1,2",2017,Out,16,"2,015",49.16,"1,054",7,0.35,0,0,"4,099"
2,Panama,"DEN 1,2",2018,Out,16,"2,201",52.87,"1,320",5,0.23,2,0.091,"4,163"
2,Panama,"DEN 1,2,3",2015,Out,16,390,9.78,298,1,0.26,0,0,"3,988"
2,Panama,"DEN 1,2,3",2016,Out,14,769,19.27,412,1,0.13,0,0,"3,990"
2,Panama,"DEN 1,3",2019,Out,16,"1,244",29.88,709,4,0.32,2,0.161,"4,163"
2,Central America Ithsmus and Mexico,  ,2015,In,,"49,739",28.93,"3,867","1,051",2.11,6,0.012,"171,936"
2,Central America Ithsmus and Mexico,  ,2016,In,,"62,228",35.56,"5,722","1,064",1.71,10,0.016,"175,005"
2,Central America Ithsmus and Mexico,  ,2017,In,,"35,409",19.97,"2,951",78,0.22,2,0.006,"177,318"
2,Central America Ithsmus and Mexico,  ,2018,In,,"26,627",14.82,"2,534",151,0.57,5,0.019,"179,616"
2,Central America Ithsmus and Mexico,  ,2019,In,,"49,276",27.47,"3,521","2,323",4.71,27,0.055,"179,357"
2,Central America Ithsmus and Mexico,  ,2020,In,,"67,689",37.74,"5,566","1,380",2.04,18,0.027,"179,357"
3,Bolivia,"DEN 1,2",2019,Out,16,"6,685",59.6,"3,194",97,1.45,12,0.18,"11,216"
3,Bolivia,"DEN 1,2",2020,Out,16,"78,184",697.08,"13,365",209,0.27,32,0.041,"11,216"
3,Bolivia,"DEN 1,2,3",2018,Out,16,"3,245",28.93,289,9,0.28,0,0,"11,216"
3,Bolivia,"DEN 1,2,4",2016,Out,16,"26,643",244.7,"3,502",35,0.13,1,0.004,"10,888"
3,Bolivia,"DEN 1,4",2015,Out,16,"11,318",102.66,"1,349",45,0.4,0,0,"11,025"
3,Bolivia,"DEN 1,4",2017,Out,16,"6,896",62.4,779,49,0.71,2,0.029,"11,052"
3,Colombia,"DEN 1,2,3",2017,Out,16,"9,037",18.42,"2,962",68,0.75,0,0,"49,066"
3,Colombia,"DEN 1,2,3",2018,Out,16,"7,182",14.52,,88,1.23,2,0.028,"49,465"
3,Colombia,"DEN 1,2,3",2019,Out,16,"29,536",59.71,"7,647",330,1.12,17,0.058,"49,465"
3,Colombia,"DEN 1,2,3,4",2015,Out,16,"31,641",63.88,,422,1.33,5,0.016,"49,529"
3,Colombia,"DEN 1,2,3,4",2016,Out,16,"44,745",91.97,"16,256",539,1.2,5,0.011,"48,654"
3,Colombia,"DEN 1,2,3,4",2020,Out,16,"46,266",93.53,"12,481",506,1.09,18,0.039,"49,465"
3,Ecuador,  ,2017,Out,16,"5,780",34.77,"5,780",5,0.09,2,0.035,"16,625"
3,Ecuador,  ,2018,Out,16,"1,383",8.2,45,1,0.07,0,0,"16,863"
3,Ecuador,"DEN 1,2",2019,Out,16,"2,074",12.3,337,10,0.48,1,0.048,"16,863"
3,Ecuador,"DEN 1,2",2020,Out,16,"8,425",49.96,"1,304",38,0.45,6,0.071,"16,863"
3,Ecuador,"DEN 1,2,3,4",2015,Out,16,"11,906",73.38,414,10,0.08,2,0.017,"16,226"
3,Ecuador,"DEN 1,2,4",2016,Out,16,"6,165",37.63,"6,165",14,0.23,0,0,"16,385"
3,Peru,"DEN 1,2",2020,Out,16,"19,288",59.25,"13,071",124,0.64,32,0.166,"32,552"
3,Peru,"DEN 1,2,3,4",2015,Out,16,"11,890",38.16,"4,932",47,0.4,14,0.118,"31,161"
3,Peru,"DEN 1,2,3,4",2016,Out,16,"16,702",52.56,"6,211",55,0.33,19,0.114,"31,774"
3,Peru,"DEN 1,2,3,4",2017,Out,16,"19,821",61.62,"5,924",62,0.31,17,0.086,"32,165"
3,Peru,"DEN 1,2,3,4",2019,Out,16,"4,772",14.66,,40,0.84,9,0.189,"32,552"
3,Peru,"DEN 2,4",2018,Out,16,"4,465",13.72,,40,0.9,6,0.134,"32,552"
3,Venezuela,  ,2015,Out,,,,,,,,,"31,293"
3,Venezuela,DEN 1,2017,Out,16,"2,620",8.19,400,102,3.89,0,0,"31,977"
3,Venezuela,"DEN 1,2",2020,Out,16,"2,954",9.12,120,11,0.37,6,0.203,"32,381"
3,Venezuela,"DEN 1,2,3",2018,Out,16,"3,120",9.64,460,17,0.54,2,0.064,"32,381"
3,Venezuela,"DEN 1,2,3",2019,Out,16,"3,381",10.44,273,22,0.65,8,0.237,"32,381"
3,Venezuela,"DEN 1,2,3,4",2016,Out,16,"17,837",56.59,,77,0.43,27,0.151,"31,519"
3,Andean Subregion,  ,2015,In,,"66,755",47.94,"6,695",524,0.78,21,0.031,"139,234"
3,Andean Subregion,  ,2016,In,,"112,092",80.51,"32,134",720,0.64,52,0.046,"139,220"
3,Andean Subregion,  ,2017,In,,"44,154",31.34,"15,845",286,0.65,21,0.048,"140,885"
3,Andean Subregion,  ,2018,In,,"19,395",13.61,794,155,0.8,10,0.052,"142,477"
3,Andean Subregion,  ,2019,In,,"46,448",32.6,"11,451",499,1.07,47,0.101,"142,477"
3,Andean Subregion,  ,2020,In,,"155,117",108.87,"40,341",888,0.57,94,0.061,"142,477"
4,Argentina,DEN 1,2018,Out,16,536,1.2,257,0,0,0,0,"44,689"
4,Argentina,"DEN 1,2,4",2020,Out,16,"38,596",86.37,"38,090",31,0.08,16,0.041,"44,689"
4,Argentina,"DEN 1,3",2017,Out,16,280,0.63,112,0,0,0,0,"44,271"
4,Argentina,"DEN 1,4",2015,Out,16,"1,731",4.11,364,0,0,0,0,"42,155"
4,Argentina,"DEN 1,4",2016,Out,16,"60,925",138.95,"31,363",0,0,0,0,"43,847"
4,Argentina,"DEN 1,4",2019,Out,16,"1,861",4.16,632,0,0,0,0,"44,689"
4,Brazil,"DEN 1,2",2019,Out,16,"957,474",459.23,"564,117",677,0.07,401,0.042,"208,495"
4,Brazil,"DEN 1,2,3,4",2015,Out,16,"994,205",488.18,"5,248","1,000",0.1,566,0.057,"203,657"
4,Brazil,"DEN 1,2,3,4",2016,Out,16,"1,233,366",588.53,"274,072",695,0.06,500,0.041,"209,568"
4,Brazil,"DEN 1,2,3,4",2017,Out,16,"122,745",58.65,"18,839",146,0.12,52,0.042,"209,288"
4,Brazil,"DEN 1,2,3,4",2018,Out,16,"101,863",48.31,"37,598",82,0.08,40,0.039,"210,868"
4,Brazil,"DEN 1,2,3,4",2020,Out,16,"940,671",451.17,"559,479",616,0.07,422,0.045,"208,495"
4,Chile,  ,2015,Out,9,7,0.04,7,0,0,0,0,"17,924"
4,Chile,  ,2017,Out,,,,,,,,,"18,055"
4,Chile,DEN 1,2016,Out,8,40,0.22,0,0,0,0,0,"18,132"
4,Chile,DEN 1,2018,Out,16,15,0.08,15,0,0,0,0,"18,197"
4,Chile,DEN 1,2019,Out,16,7,0.04,6,0,0,0,0,"18,197"
4,Chile,DEN 2,2020,Out,16,7,0.04,7,0,0,0,0,"18,197"
4,Paraguay,DEN 1,2017,Out,16,361,5.3,175,1,0.28,0,0,"6,811"
4,Paraguay,"DEN 1, 4",2018,Out,16,"25,406",368.36,"2,777",,,12,0.047,"6,897"
4,Paraguay,"DEN 1,2,4",2015,Out,16,"22,841",324.77,"2,845",0,0,0,0,"7,033"
4,Paraguay,"DEN 1,2,4",2019,Out,16,"2,989",43.34,286,,,3,0.1,"6,897"
4,Paraguay,"DEN 1,2,4",2020,Out,16,"217,800","3,157.89","61,859",137,0.06,75,0.034,"6,897"
4,Paraguay,"DEN 1,3,4",2016,Out,16,"34,043",506.22,"2,287",0,0,16,0.047,"6,725"
4,Uruguay,  ,2015,Out,16,0,0,0,0,,0,,"3,430"
4,Uruguay,  ,2017,Out,16,0,0,0,0,,0,,"3,457"
4,Uruguay,  ,2018,Out,16,0,0,0,0,,0,,"3,470"
4,Uruguay,  ,2019,Out,16,0,0,0,0,,0,,"3,470"
4,Uruguay,DEN 1,2016,Out,16,"1,750",50.81,26,0,0,0,0,"3,444"
4,Uruguay,DEN 1,2020,Out,16,4,0.12,4,0,0,0,0,"3,470"
4,Southern Cone,  ,2015,In,,"1,018,784",371.55,"8,464","1,000",0.1,566,0.056,"274,199"
4,Southern Cone,  ,2016,In,,"1,330,124",472.15,"307,748",695,0.05,516,0.039,"281,716"
4,Southern Cone,  ,2017,In,,"123,386",43.77,"19,126",147,0.12,52,0.042,"281,882"
4,Southern Cone,  ,2018,In,,"127,820",44.99,"40,647",82,0.06,52,0.041,"284,121"
4,Southern Cone,  ,2019,In,,"962,331",341.56,"565,041",677,0.07,404,0.042,"281,748"
4,Southern Cone,  ,2020,In,,"1,197,078",424.88,"659,439",784,0.07,513,0.043,"281,748"
5,Cuba,  ,2015,Out,,,,,,,,,"11,249"
5,Cuba,  ,2017,Out,,,,,,,,,"11,485"
5,Cuba,  ,2018,Out,,,,,,,,,"11,489"
5,Cuba,  ,2019,Out,,,,,,,,,"11,489"
5,Cuba,  ,2020,Out,,,,,,,,,"11,489"
5,Cuba,"DEN 2,3",2016,Out,11,"1,208",10.6,"1,208",0,0,0,0,"11,393"
5,Dominican Republic,  ,2016,Out,16,"3,725",34.98,0,418,11.22,21,0.564,"10,649"
5,Dominican Republic,DEN 1,2020,Out,16,"3,085",28.35,406,100,3.24,0,0,"10,883"
5,Dominican Republic,"DEN 1,2",2018,Out,16,390,3.58,21,41,10.51,1,0.256,"10,883"
5,Dominican Republic,"DEN 1,3",2019,Out,16,"1,691",15.54,460,36,2.13,0,0,"10,883"
5,Dominican Republic,DEN 2,2017,Out,16,299,2.78,3,12,4.01,0,0,"10,767"
5,Dominican Republic,"DEN 2,3,4",2015,Out,16,"1,343",12.61,0,20,1.49,20,1.489,"10,652"
5,Puerto Rico,  ,2018,Out,16,0,0,0,0,,0,,"3,659"
5,Puerto Rico,  ,2019,Out,16,0,0,0,0,,0,,"3,659"
5,Puerto Rico,  ,2020,Out,16,106,2.9,106,5,4.72,0,0,"3,659"
5,Puerto Rico,"DEN 1,2,3,4",2015,Out,15,642,17.45,29,0,0,0,0,"3,680"
5,Puerto Rico,"DEN 1,2,3,4",2016,Out,16,109,2.96,109,0,0,0,0,"3,681"
5,Puerto Rico,DEN 2,2017,Out,16,9,0.25,9,0,0,0,0,"3,663"
5,Latin Caribbean,  ,2015,In,,"1,985",7.76,29,20,1.01,20,1.008,"25,581"
5,Latin Caribbean,  ,2016,In,,"5,042",19.6,"1,317",418,8.29,21,0.417,"25,723"
5,Latin Caribbean,  ,2017,In,,308,1.19,12,12,3.9,0,0,"25,915"
5,Latin Caribbean,  ,2018,In,,390,1.5,21,41,10.51,1,0.256,"26,031"
5,Latin Caribbean,  ,2019,In,,"1,691",6.5,460,36,2.13,0,0,"26,031"
5,Latin Caribbean,  ,2020,In,,"3,191",12.26,512,105,3.29,0,0,"26,031"
6,Anguilla,  ,2015,Out,4,3,18.75,0,0,0,0,0,16
6,Anguilla,  ,2016,Out,8,5,29.41,0,0,0,0,0,17
6,Anguilla,  ,2017,Out,12,15,88.24,2,0,0,,,17
6,Anguilla,  ,2018,Out,16,0,0,0,0,,0,,17
6,Anguilla,  ,2019,Out,16,0,0,0,0,,0,,17
6,Anguilla,"DEN 1,3",2020,Out,16,6,35.29,2,0,0,0,0,17
6,Antigua and Barbuda,  ,2015,Out,4,0,0,0,0,,0,,92
6,Antigua and Barbuda,  ,2016,Out,16,9,9.57,2,0,0,0,0,94
6,Antigua and Barbuda,  ,2017,Out,16,1,1.05,0,0,0,0,0,95
6,Antigua and Barbuda,  ,2018,Out,16,1,0.97,1,0,0,0,0,103
6,Antigua and Barbuda,  ,2020,Out,16,394,382.52,0,0,0,0,0,103
6,Antigua and Barbuda,DEN 3,2019,Out,12,182,176.7,17,0,0,0,0,103
6,Aruba,  ,2015,Out,,,,,,,,,112
6,Aruba,  ,2016,Out,,,,,,,,,114
6,Aruba,  ,2017,Out,16,159,138.26,16,0,0,,,115
6,Aruba,  ,2018,Out,16,2,1.89,2,0,0,0,0,106
6,Aruba,  ,2019,Out,12,59,55.66,12,,,,,106
6,Aruba,  ,2020,Out,16,10,9.43,4,0,0,0,0,106
6,Bahamas,  ,2015,Out,12,5,1.29,1,0,0,0,0,388
6,Bahamas,  ,2016,Out,12,29,7.38,0,0,0,0,0,393
6,Bahamas,  ,2017,Out,12,0,0,0,0,,0,,395
6,Bahamas,  ,2018,Out,16,4,1,0,0,0,0,0,399
6,Bahamas,  ,2019,Out,16,0,0,0,0,,0,,399
6,Bahamas,  ,2020,Out,16,3,0.75,0,0,0,0,0,399
6,Barbados,  ,2015,Out,,,,,,,,,291
6,Barbados,  ,2016,Out,4,202,69.42,202,0,0,0,0,291
6,Barbados,  ,2017,Out,12,96,32.88,21,0,0,0,0,292
6,Barbados,  ,2018,Out,16,36,12.59,0,0,0,0,0,286
6,Barbados,  ,2019,Out,16,2,0.7,0,0,0,0,0,286
6,Barbados,  ,2020,Out,16,119,41.61,0,0,0,0,0,286
6,Bermuda,  ,2015,Out,4,0,0,0,0,,0,,70
6,Bermuda,  ,2016,Out,16,1,1.41,0,0,0,0,0,71
6,Bermuda,  ,2017,Out,16,0,0,0,0,,0,,71
6,Bermuda,  ,2018,Out,16,0,0,0,0,,0,,71
