ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,35,0,,0,0,,0,,0
1,Canada,  ,2016,Out,35,0,,0,0,,0,,0
1,Canada,  ,2017,Out,35,0,,0,0,,0,,0
1,Canada,  ,2018,Out,35,0,,0,0,,0,,0
1,Canada,  ,2019,Out,35,0,,0,0,,0,,0
1,Canada,  ,2020,Out,35,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,35,781,0.24,781,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,35,252,0.08,252,7,2.78,0,0,"324,460"
1,United States of America,  ,2018,Out,35,118,0.04,118,1,0.85,0,0,"326,767"
1,United States of America,  ,2019,Out,35,404,0.12,404,6,1.49,0,0,"326,767"
1,United States of America,  ,2020,Out,35,195,0.06,195,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,35,408,0.13,408,4,0.98,0,0,"325,128"
1,North America,  ,2015,In,,408,0.13,408,4,0.98,0,0,"325,128"
1,North America,  ,2016,In,,781,0.24,781,0,0,0,0,"324,119"
1,North America,  ,2017,In,,252,0.08,252,7,2.78,0,0,"324,460"
1,North America,  ,2018,In,,118,0.04,118,1,0.85,0,0,"326,767"
1,North America,  ,2019,In,,404,0.12,404,6,1.49,0,0,"326,767"
1,North America,  ,2020,In,,195,0.06,195,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,35,"5,648","1,478.53","1,360",53,0.94,0,0,382
2,Belize,"DEN 1,3",2020,Out,35,"2,061",539.53,318,0,0,0,0,382
2,Belize,DEN 2,2015,Out,35,"3,208",921.84,282,,,,,348
2,Belize,DEN 2,2017,Out,35,"2,540",677.33,26,2,0.08,0,0,375
2,Belize,DEN 2,2018,Out,35,"1,121",293.46,46,,,0,0,382
2,Belize,DEN 3,2016,Out,35,"3,453",940.87,111,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,35,"4,246",86.55,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,35,"1,780",35.94,265,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,35,"5,011",101.17,211,2,0.04,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,35,"8,199",165.54,419,18,0.22,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,35,"5,277",105.5,0,6,0.11,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,35,"16,679",343.4,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,35,"25,681",399.64,"6,548",215,0.84,1,0.004,"6,426"
2,El Salvador,DEN 2,2016,Out,35,"7,043",114.59,95,173,2.46,1,0.014,"6,146"
2,El Salvador,DEN 2,2017,Out,35,"2,822",44.25,132,2,0.07,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,35,"4,533",70.7,403,36,0.79,1,0.022,"6,412"
2,El Salvador,DEN 2,2019,Out,35,"16,573",258.47,667,98,0.59,5,0.03,"6,412"
2,El Salvador,DEN 2,2020,Out,35,"4,303",67.11,37,8,0.19,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,35,"12,281",75.55,468,16,0.13,5,0.041,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,35,"6,534",39.19,330,39,0.6,1,0.015,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,33,"2,463",14.56,386,15,0.61,0,0,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,35,"4,509",26.15,"1,352",45,1,11,0.244,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,35,"28,794",166.97,"1,029",102,0.35,59,0.205,"17,245"
2,Guatemala,"DEN 1,2,3,4",2020,Out,35,"5,154",29.89,721,16,0.31,9,0.175,"17,245"
2,Honduras,  ,2015,Out,35,"37,453",444.6,0,735,1.96,0,0,"8,424"
2,Honduras,"DEN 1,2",2019,Out,35,"71,216",777.64,128,"14,379",20.19,128,0.18,"9,158"
2,Honduras,"DEN 1,2",2020,Out,35,"19,734",215.48,75,"1,485",7.53,9,0.046,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,35,"4,948",52.54,,246,4.97,1,0.02,"9,417"
2,Honduras,DEN 2,2016,Out,33,"18,881",230.54,64,238,1.26,2,0.011,"8,190"
2,Honduras,DEN 2,2017,Out,35,"4,202",45.35,0,79,1.88,0,0,"9,265"
2,Mexico,"DEN 1,2,3",2017,Out,35,"33,631",26.04,"4,966",179,0.53,12,0.036,"129,163"
2,Mexico,"DEN 1,2,3,4",2015,Out,35,"116,063",92.68,"12,559","2,437",2.1,13,0.011,"125,236"
2,Mexico,"DEN 1,2,3,4",2016,Out,35,"67,809",52.72,"8,314",503,0.74,10,0.015,"128,632"
2,Mexico,"DEN 1,2,3,4",2018,Out,35,"26,984",20.64,"3,490",247,0.92,11,0.041,"130,759"
2,Mexico,"DEN 1,2,3,4",2019,Out,35,"74,277",56.8,"11,593",798,1.07,28,0.038,"130,759"
2,Mexico,"DEN 1,2,3,4",2020,Out,35,"55,048",42.1,"8,585",518,0.94,28,0.051,"130,759"
2,Nicaragua,DEN 2,2016,Out,35,"65,305","1,061.87","5,024",,,15,0.023,"6,150"
2,Nicaragua,DEN 2,2017,Out,35,"48,326",777.2,"1,844",,,2,0.004,"6,218"
2,Nicaragua,DEN 2,2018,Out,35,"29,509",469.51,947,,,2,0.007,"6,285"
2,Nicaragua,DEN 2,2019,Out,35,"94,974","1,511.12","4,921",587,0.62,13,0.014,"6,285"
2,Nicaragua,DEN 2,2020,Out,35,"35,422",563.6,858,45,0.13,1,0.003,"6,285"
2,Nicaragua,"DEN 2,3",2015,Out,35,"25,475",407.14,"1,086",4,0.02,4,0.016,"6,257"
2,Panama,DEN 1,2020,Out,35,"3,562",85.56,"1,761",12,0.34,4,0.112,"4,163"
2,Panama,"DEN 1,2",2017,Out,35,"4,963",121.08,"2,582",9,0.18,0,0,"4,099"
2,Panama,"DEN 1,2",2018,Out,35,"4,471",107.4,"2,740",7,0.16,3,0.067,"4,163"
2,Panama,"DEN 1,2,3",2015,Out,34,"1,456",36.51,913,2,0.14,1,0.069,"3,988"
2,Panama,"DEN 1,2,3",2016,Out,35,"3,332",83.51,924,11,0.33,9,0.27,"3,990"
2,Panama,"DEN 1,3",2019,Out,35,"3,269",78.53,"1,911",7,0.21,3,0.092,"4,163"
2,Central America Ithsmus and Mexico,  ,2015,In,,"226,894",131.96,"21,856","3,415",1.51,24,0.011,"171,936"
2,Central America Ithsmus and Mexico,  ,2016,In,,"189,036",108.02,"14,862",964,0.51,38,0.02,"175,005"
2,Central America Ithsmus and Mexico,  ,2017,In,,"103,193",58.2,"9,936",286,0.28,14,0.014,"177,318"
2,Central America Ithsmus and Mexico,  ,2018,In,,"77,855",43.35,"9,243",581,0.75,29,0.037,"179,616"
2,Central America Ithsmus and Mexico,  ,2019,In,,"299,762",167.13,"21,820","16,026",5.35,236,0.079,"179,357"
2,Central America Ithsmus and Mexico,  ,2020,In,,"133,483",74.42,"12,774","2,102",1.57,51,0.038,"179,357"
3,Bolivia,"DEN 1,2",2019,Out,35,"10,982",97.91,"4,513",147,1.34,18,0.164,"11,216"
3,Bolivia,"DEN 1,2",2020,Out,35,"83,565",745.05,"14,195",217,0.26,32,0.038,"11,216"
3,Bolivia,"DEN 1,2,3",2018,Out,35,"4,975",44.36,383,16,0.32,0,0,"11,216"
3,Bolivia,"DEN 1,2,4",2016,Out,35,"29,383",269.87,"3,687",52,0.18,1,0.003,"10,888"
3,Bolivia,"DEN 1,4",2015,Out,35,"22,639",205.34,"1,848",73,0.32,0,0,"11,025"
3,Bolivia,"DEN 1,4",2017,Out,35,"8,997",81.41,858,61,0.68,2,0.022,"11,052"
3,Colombia,"DEN 1,2,3",2017,Out,35,"18,086",36.86,"6,650",153,0.85,12,0.066,"49,066"
3,Colombia,"DEN 1,2,3",2018,Out,35,"23,163",46.83,"4,063",258,1.11,17,0.073,"49,465"
3,Colombia,"DEN 1,2,3",2019,Out,35,"84,644",171.12,"23,341",919,1.09,48,0.057,"49,465"
3,Colombia,"DEN 1,2,3,4",2015,Out,35,"61,231",123.63,,817,1.33,50,0.082,"49,529"
3,Colombia,"DEN 1,2,3,4",2016,Out,35,"84,416",173.5,"36,774",785,0.93,32,0.038,"48,654"
3,Colombia,"DEN 1,2,3,4",2020,Out,35,"67,560",136.58,"17,401",722,1.07,36,0.053,"49,465"
3,Ecuador,  ,2017,Out,35,"10,438",62.78,"10,438",13,0.12,4,0.038,"16,625"
3,Ecuador,  ,2018,Out,35,"2,489",14.76,98,4,0.16,1,0.04,"16,863"
3,Ecuador,"DEN 1,2",2019,Out,35,"6,203",36.78,821,24,0.39,2,0.032,"16,863"
3,Ecuador,"DEN 1,2",2020,Out,35,"13,418",79.57,"1,648",46,0.34,6,0.045,"16,863"
3,Ecuador,"DEN 1,2,3,4",2015,Out,35,"40,694",250.8,414,51,0.13,6,0.015,"16,226"
3,Ecuador,"DEN 1,2,4",2016,Out,35,"12,312",75.14,"12,312",34,0.28,3,0.024,"16,385"
3,Peru,"DEN 1,2",2020,Out,35,"29,819",91.6,"19,513",122,0.41,39,0.131,"32,552"
3,Peru,"DEN 1,2,3,4",2015,Out,35,"35,765",114.77,"17,747",115,0.32,39,0.109,"31,161"
3,Peru,"DEN 1,2,3,4",2016,Out,35,"27,777",87.42,"14,457",104,0.37,34,0.122,"31,774"
