ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,13,0,,0,0,,0,,0
1,Canada,  ,2016,Out,13,0,,0,0,,0,,0
1,Canada,  ,2017,Out,13,0,,0,0,,0,,0
1,Canada,  ,2018,Out,13,0,,0,0,,0,,0
1,Canada,  ,2019,Out,13,0,,0,0,,0,,0
1,Canada,  ,2020,Out,13,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,13,310,0.1,310,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,13,62,0.02,62,1,1.61,0,0,"324,460"
1,United States of America,  ,2018,Out,13,28,0.01,28,0,0,0,0,"326,767"
1,United States of America,  ,2019,Out,13,63,0.02,63,0,0,0,0,"326,767"
1,United States of America,  ,2020,Out,13,77,0.02,77,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,13,116,0.04,116,0,0,0,0,"325,128"
1,North America,  ,2015,In,,116,0.04,116,0,0,0,0,"325,128"
1,North America,  ,2016,In,,310,0.1,310,0,0,0,0,"324,119"
1,North America,  ,2017,In,,62,0.02,62,1,1.61,0,0,"324,460"
1,North America,  ,2018,In,,28,0.01,28,0,0,0,0,"326,767"
1,North America,  ,2019,In,,63,0.02,63,0,0,0,0,"326,767"
1,North America,  ,2020,In,,77,0.02,77,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,13,703,184.03,112,0,0,0,0,382
2,Belize,"DEN 1,3",2020,Out,13,"1,358",355.5,274,0,0,0,0,382
2,Belize,DEN 2,2015,Out,13,901,258.91,63,,,,,348
2,Belize,DEN 2,2017,Out,13,"1,344",358.4,12,2,0.15,0,0,375
2,Belize,DEN 2,2018,Out,13,336,87.96,12,,,0,0,382
2,Belize,DEN 3,2016,Out,13,"1,513",412.26,77,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,13,"1,186",24.17,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,13,464,9.37,,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,13,542,10.94,15,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,13,"1,759",35.51,107,2,0.11,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,13,899,17.97,0,0,0,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,13,"6,396",131.69,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,13,"2,399",37.33,378,13,0.54,0,0,"6,426"
2,El Salvador,DEN 2,2016,Out,13,"3,226",52.49,56,75,2.32,0,0,"6,146"
2,El Salvador,DEN 2,2017,Out,13,942,14.77,32,0,0,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,13,923,14.39,31,0,0,0,0,"6,412"
2,El Salvador,DEN 2,2019,Out,13,"1,989",31.02,252,20,1.01,0,0,"6,412"
2,El Salvador,DEN 2,2020,Out,13,"2,279",35.54,20,4,0.18,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,13,"2,305",14.18,50,4,0.17,3,0.13,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,13,"1,900",11.4,326,0,0,0,0,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,11,578,3.42,,0,0,0,0,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,13,952,5.52,207,9,0.95,1,0.105,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,13,"2,052",11.9,189,22,1.07,9,0.439,"17,245"
2,Guatemala,"DEN 1,2,3,4",2020,Out,13,"3,258",18.89,408,11,0.34,6,0.184,"17,245"
2,Honduras,  ,2015,Out,13,"9,674",114.84,0,362,3.74,0,0,"8,424"
2,Honduras,"DEN 1,2",2019,Out,13,"6,540",71.41,9,"1,650",25.23,9,0.138,"9,158"
2,Honduras,"DEN 1,2",2020,Out,13,"11,461",125.15,21,983,8.58,9,0.079,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,13,"1,380",14.65,,70,5.07,0,0,"9,417"
2,Honduras,DEN 2,2016,Out,13,"7,154",87.35,0,140,1.96,1,0.014,"8,190"
2,Honduras,DEN 2,2017,Out,13,"1,297",14,0,25,1.93,0,0,"9,265"
2,Mexico,"DEN 1,2,3",2017,Out,13,"7,161",5.54,749,31,0.43,1,0.014,"129,163"
2,Mexico,"DEN 1,2,3",2018,Out,13,"4,458",3.41,345,32,0.72,0,0,"130,759"
2,Mexico,"DEN 1,2,3,4",2015,Out,13,"13,975",11.16,"2,154",496,3.55,0,0,"125,236"
2,Mexico,"DEN 1,2,3,4",2019,Out,13,"9,585",7.33,"1,185",78,0.81,3,0.031,"130,759"
2,Mexico,"DEN 1,2,3,4",2020,Out,13,"19,659",15.03,"2,304",244,1.24,1,0.005,"130,759"
2,Mexico,"DEN1,2,3,4",2016,Out,13,"19,587",15.23,"2,728",726,3.71,1,0.005,"128,632"
2,Nicaragua,DEN 2,2016,Out,13,"11,428",185.82,"1,330",,,8,0.07,"6,150"
2,Nicaragua,DEN 2,2017,Out,13,"14,960",240.59,821,,,1,0.007,"6,218"
2,Nicaragua,DEN 2,2018,Out,13,"10,524",167.45,324,,,0,0,"6,285"
2,Nicaragua,DEN 2,2019,Out,13,"18,092",287.86,627,102,0.56,1,0.006,"6,285"
2,Nicaragua,DEN 2,2020,Out,13,"19,607",311.96,574,25,0.13,0,0,"6,285"
2,Nicaragua,"DEN 2,3",2015,Out,13,"7,379",117.93,101,0,0,0,0,"6,257"
2,Panama,DEN 1,2020,Out,13,"2,779",66.75,"1,433",11,0.4,2,0.072,"4,163"
2,Panama,"DEN 1,2",2017,Out,13,"1,862",45.43,990,3,0.16,0,0,"4,099"
2,Panama,"DEN 1,2",2018,Out,13,"1,974",47.42,"1,195",3,0.15,2,0.101,"4,163"
2,Panama,"DEN 1,2,3",2015,Out,13,357,8.95,237,1,0.28,0,0,"3,988"
2,Panama,"DEN 1,2,3",2016,Out,13,719,18.02,393,1,0.14,0,0,"3,990"
2,Panama,"DEN 1,3",2019,Out,13,"1,119",26.88,671,4,0.36,2,0.179,"4,163"
2,Central America Ithsmus and Mexico,  ,2015,In,,"37,889",22.04,"2,983",876,2.31,3,0.008,"171,936"
2,Central America Ithsmus and Mexico,  ,2016,In,,"51,923",29.67,"4,910",942,1.81,10,0.019,"175,005"
2,Central America Ithsmus and Mexico,  ,2017,In,,"29,330",16.54,"2,604",61,0.21,2,0.007,"177,318"
2,Central America Ithsmus and Mexico,  ,2018,In,,"21,011",11.7,"2,114",114,0.54,3,0.014,"179,616"
2,Central America Ithsmus and Mexico,  ,2019,In,,"40,622",22.65,"3,060","1,876",4.62,24,0.059,"179,357"
2,Central America Ithsmus and Mexico,  ,2020,In,,"62,160",34.66,"5,141","1,280",2.06,18,0.029,"179,357"
3,Bolivia,"DEN 1,2",2019,Out,13,"5,351",47.71,"2,790",75,1.4,10,0.187,"11,216"
3,Bolivia,"DEN 1,2",2020,Out,13,"72,043",642.32,"12,495",196,0.27,32,0.044,"11,216"
3,Bolivia,"DEN 1,2,3",2018,Out,13,"2,451",21.85,245,4,0.16,0,0,"11,216"
3,Bolivia,"DEN 1,2,4",2016,Out,13,"22,908",210.4,"3,289",31,0.14,1,0.004,"10,888"
3,Bolivia,"DEN 1,4",2015,Out,13,"5,793",52.54,"1,069",31,0.54,0,0,"11,025"
3,Bolivia,"DEN 1,4",2017,Out,13,"5,286",47.83,682,34,0.64,1,0.019,"11,052"
3,Colombia,"DEN 1,2,3",2017,Out,13,"7,650",15.59,"2,474",60,0.78,0,0,"49,066"
3,Colombia,"DEN 1,2,3",2018,Out,13,"5,809",11.74,,68,1.17,0,0,"49,465"
3,Colombia,"DEN 1,2,3",2019,Out,13,"23,504",47.52,,264,1.12,3,0.013,"49,465"
3,Colombia,"DEN 1,2,3,4",2015,Out,13,"25,932",52.36,,362,1.4,0,0,"49,529"
3,Colombia,"DEN 1,2,3,4",2016,Out,13,"37,158",76.37,"12,548",464,1.25,4,0.011,"48,654"
3,Colombia,"DEN 1,2,3,4",2020,Out,13,"41,365",83.62,"10,834",454,1.1,16,0.039,"49,465"
3,Ecuador,  ,2015,Out,13,"6,196",38.19,0,15,0.24,0,0,"16,226"
3,Ecuador,  ,2017,Out,13,"3,953",23.78,"3,953",3,0.08,2,0.051,"16,625"
3,Ecuador,  ,2018,Out,13,"1,175",6.97,31,1,0.09,0,0,"16,863"
3,Ecuador,"DEN 1,2",2019,Out,13,"1,569",9.3,250,9,0.57,1,0.064,"16,863"
3,Ecuador,"DEN 1,2",2020,Out,13,"7,188",42.63,"1,229",37,0.51,6,0.083,"16,863"
3,Ecuador,"DEN 1,2,4",2016,Out,13,"5,187",31.66,"5,187",14,0.27,0,0,"16,385"
3,Peru,"DEN 1,2",2020,Out,13,"15,605",47.94,"10,814",114,0.73,28,0.179,"32,552"
3,Peru,"DEN 1,2,3,4",2015,Out,13,"7,101",22.79,"3,110",25,0.35,10,0.141,"31,161"
3,Peru,"DEN 1,2,3,4",2016,Out,13,"12,389",38.99,"4,183",37,0.3,13,0.105,"31,774"
3,Peru,"DEN 1,2,3,4",2017,Out,13,"11,375",35.36,"3,433",39,0.34,9,0.079,"32,165"
3,Peru,"DEN 1,2,3,4",2019,Out,13,"4,233",13,,35,0.83,7,0.165,"32,552"
3,Peru,"DEN 2,4",2018,Out,13,"3,928",12.07,,37,0.94,6,0.153,"32,552"
3,Venezuela,  ,2015,Out,,,,,,,,,"31,293"
3,Venezuela,DEN 1,2017,Out,13,"2,289",7.16,,83,3.63,0,0,"31,977"
3,Venezuela,"DEN 1,2",2020,Out,13,"2,772",8.56,120,11,0.4,6,0.216,"32,381"
3,Venezuela,"DEN 1,2,3",2018,Out,13,"2,599",8.03,,15,0.58,0,0,"32,381"
3,Venezuela,"DEN 1,2,3",2019,Out,13,"2,969",9.17,241,21,0.71,8,0.269,"32,381"
3,Venezuela,"DEN 1,2,3,4",2016,Out,13,"16,489",52.31,"3,407",72,0.44,26,0.158,"31,519"
3,Andean Subregion,  ,2015,In,,"45,022",32.34,"4,179",433,0.96,10,0.022,"139,234"
3,Andean Subregion,  ,2016,In,,"94,131",67.61,"28,614",618,0.66,44,0.047,"139,220"
3,Andean Subregion,  ,2017,In,,"30,553",21.69,"10,542",219,0.72,12,0.039,"140,885"
3,Andean Subregion,  ,2018,In,,"15,962",11.2,276,125,0.78,6,0.038,"142,477"
3,Andean Subregion,  ,2019,In,,"37,626",26.41,"3,281",404,1.07,29,0.077,"142,477"
3,Andean Subregion,  ,2020,In,,"138,973",97.54,"35,492",812,0.58,88,0.063,"142,477"
4,Argentina,DEN 1,2018,Out,13,161,0.36,78,0,0,0,0,"44,689"
4,Argentina,"DEN 1,2,4",2020,Out,13,"22,273",49.84,"21,954",14,0.06,13,0.058,"44,689"
4,Argentina,"DEN 1,3",2017,Out,12,175,0.4,80,0,0,0,0,"44,271"
4,Argentina,"DEN 1,4",2015,Out,13,"1,138",2.7,138,0,0,0,0,"42,155"
4,Argentina,"DEN 1,4",2016,Out,13,"47,741",108.88,"23,759",0,0,5,0.01,"43,847"
4,Argentina,"DEN 1,4",2019,Out,13,"1,220",2.73,438,0,0,0,0,"44,689"
4,Brazil,"DEN 1,2",2019,Out,13,"620,065",297.4,"358,412",485,0.08,257,0.041,"208,495"
4,Brazil,"DEN 1,2,3,4",2015,Out,13,"705,231",346.28,"5,248",731,0.1,427,0.061,"203,657"
4,Brazil,"DEN 1,2,3,4",2016,Out,13,"1,029,935",491.46,"233,543",606,0.06,429,0.042,"209,568"
4,Brazil,"DEN 1,2,3,4",2017,Out,13,"94,501",45.15,"14,565",111,0.12,38,0.04,"209,288"
4,Brazil,"DEN 1,2,3,4",2018,Out,13,"72,886",34.56,"25,216",53,0.07,27,0.037,"210,868"
4,Brazil,"DEN 1,2,3,4",2020,Out,13,"782,011",375.07,"462,484",527,0.07,352,0.045,"208,495"
4,Chile,  ,2015,Out,9,7,0.04,7,0,0,0,0,"17,924"
4,Chile,  ,2017,Out,,,,,,,,,"18,055"
4,Chile,DEN 1,2016,Out,8,40,0.22,0,0,0,0,0,"18,132"
4,Chile,DEN 1,2018,Out,13,1,0.01,1,0,0,0,0,"18,197"
4,Chile,DEN 1,2019,Out,13,3,0.02,2,0,0,0,0,"18,197"
4,Chile,DEN 2,2020,Out,13,6,0.03,6,0,0,0,0,"18,197"
4,Paraguay,DEN 1,2017,Out,13,314,4.61,130,1,0.32,0,0,"6,811"
4,Paraguay,"DEN 1, 4",2018,Out,13,"22,363",324.24,"2,553",,,11,0.049,"6,897"
4,Paraguay,"DEN 1,2,4",2015,Out,13,"13,974",198.69,250,0,0,0,0,"7,033"
4,Paraguay,"DEN 1,2,4",2019,Out,13,"1,675",24.29,233,,,1,0.06,"6,897"
4,Paraguay,"DEN 1,2,4",2020,Out,13,"215,909","3,130.48","61,685",137,0.06,75,0.035,"6,897"
4,Paraguay,"DEN 1,3,4",2016,Out,13,"29,552",439.43,"2,138",0,0,11,0.037,"6,725"
4,Uruguay,  ,2015,Out,13,0,0,0,0,,0,,"3,430"
4,Uruguay,  ,2017,Out,13,0,0,0,0,,0,,"3,457"
4,Uruguay,  ,2018,Out,13,0,0,0,0,,0,,"3,470"
4,Uruguay,  ,2019,Out,13,0,0,0,0,,0,,"3,470"
4,Uruguay,DEN 1,2016,Out,13,"1,558",45.24,25,0,0,0,0,"3,444"
4,Uruguay,DEN 1,2020,Out,13,2,0.06,2,0,0,0,0,"3,470"
4,Southern Cone,  ,2015,In,,"720,350",262.71,"5,643",731,0.1,427,0.059,"274,199"
4,Southern Cone,  ,2016,In,,"1,108,826",393.6,"259,465",606,0.05,445,0.04,"281,716"
4,Southern Cone,  ,2017,In,,"94,990",33.7,"14,775",112,0.12,38,0.04,"281,882"
4,Southern Cone,  ,2018,In,,"95,411",33.58,"27,848",53,0.06,38,0.04,"284,121"
4,Southern Cone,  ,2019,In,,"622,963",221.11,"359,085",485,0.08,258,0.041,"281,748"
4,Southern Cone,  ,2020,In,,"1,020,201",362.1,"546,131",678,0.07,440,0.043,"281,748"
5,Cuba,  ,2015,Out,,,,,,,,,"11,249"
5,Cuba,  ,2017,Out,,,,,,,,,"11,485"
5,Cuba,  ,2018,Out,,,,,,,,,"11,489"
5,Cuba,  ,2019,Out,,,,,,,,,"11,489"
5,Cuba,  ,2020,Out,,,,,,,,,"11,489"
5,Cuba,"DEN 2,3",2016,Out,11,"1,208",10.6,"1,208",0,0,0,0,"11,393"
5,Dominican Republic,  ,2016,Out,13,"3,293",30.92,0,380,11.54,18,0.547,"10,649"
5,Dominican Republic,DEN 1,2020,Out,13,"3,001",27.58,380,105,3.5,0,0,"10,883"
5,Dominican Republic,"DEN 1,2",2018,Out,13,307,2.82,14,32,10.42,0,0,"10,883"
5,Dominican Republic,"DEN 1,3",2019,Out,13,"1,257",11.55,460,36,2.86,0,0,"10,883"
5,Dominican Republic,DEN 2,2017,Out,13,240,2.23,3,10,4.17,0,0,"10,767"
5,Dominican Republic,"DEN 2,3,4",2015,Out,13,"1,034",9.71,0,14,1.35,14,1.354,"10,652"
5,Puerto Rico,  ,2018,Out,13,0,0,0,0,,0,,"3,659"
5,Puerto Rico,  ,2019,Out,13,0,0,0,0,,0,,"3,659"
5,Puerto Rico,  ,2020,Out,13,104,2.84,104,0,0,0,0,"3,659"
5,Puerto Rico,"DEN 1,2,3,4",2015,Out,13,587,15.95,19,0,0,0,0,"3,680"
5,Puerto Rico,"DEN 1,2,3,4",2016,Out,13,99,2.69,99,0,0,0,0,"3,681"
5,Puerto Rico,DEN 2,2017,Out,13,5,0.14,5,0,0,0,0,"3,663"
5,Latin Caribbean,  ,2015,In,,"1,621",6.34,19,14,0.86,14,0.864,"25,581"
5,Latin Caribbean,  ,2016,In,,"4,600",17.88,"1,307",380,8.26,18,0.391,"25,723"
5,Latin Caribbean,  ,2017,In,,245,0.95,8,10,4.08,0,0,"25,915"
5,Latin Caribbean,  ,2018,In,,307,1.18,14,32,10.42,0,0,"26,031"
5,Latin Caribbean,  ,2019,In,,"1,257",4.83,460,36,2.86,0,0,"26,031"
5,Latin Caribbean,  ,2020,In,,"3,105",11.93,484,105,3.38,0,0,"26,031"
6,Anguilla,  ,2015,Out,4,3,18.75,0,0,0,0,0,16
6,Anguilla,  ,2016,Out,8,5,29.41,0,0,0,0,0,17
6,Anguilla,  ,2017,Out,12,15,88.24,2,0,0,,,17
6,Anguilla,  ,2018,Out,13,0,0,0,0,,0,,17
6,Anguilla,  ,2019,Out,13,0,0,0,0,,0,,17
6,Anguilla,"DEN 1,3",2020,Out,12,6,35.29,1,0,0,0,0,17
6,Antigua and Barbuda,  ,2015,Out,4,0,0,0,0,,0,,92
6,Antigua and Barbuda,  ,2016,Out,4,2,2.13,2,0,0,0,0,94
6,Antigua and Barbuda,  ,2017,Out,13,1,1.05,0,0,0,0,0,95
6,Antigua and Barbuda,  ,2018,Out,13,1,0.97,1,0,0,0,0,103
6,Antigua and Barbuda,  ,2020,Out,13,394,382.52,0,0,0,0,0,103
6,Antigua and Barbuda,DEN 3,2019,Out,12,182,176.7,17,0,0,0,0,103
6,Aruba,  ,2015,Out,,,,,,,,,112
6,Aruba,  ,2016,Out,,,,,,,,,114
6,Aruba,  ,2017,Out,8,175,152.17,16,0,0,,,115
6,Aruba,  ,2018,Out,13,2,1.89,2,0,0,0,0,106
6,Aruba,  ,2019,Out,12,59,55.66,12,,,,,106
6,Aruba,  ,2020,Out,12,9,8.49,2,0,0,0,0,106
6,Bahamas,  ,2015,Out,12,5,1.29,1,0,0,0,0,388
