ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,10,0,,0,0,,0,,0
1,Canada,  ,2016,Out,10,0,,0,0,,0,,0
1,Canada,  ,2017,Out,10,0,,0,0,,0,,0
1,Canada,  ,2018,Out,10,0,,0,0,,0,,0
1,Canada,  ,2019,Out,10,0,,0,0,,0,,0
1,Canada,  ,2020,Out,10,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,10,259,0.08,259,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,10,53,0.02,53,1,1.89,0,0,"324,460"
1,United States of America,  ,2018,Out,10,15,0,15,0,0,0,0,"326,767"
1,United States of America,  ,2019,Out,10,53,0.02,53,0,0,0,0,"326,767"
1,United States of America,  ,2020,Out,10,64,0.02,64,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,10,8,0,8,0,0,0,0,"325,128"
1,North America,  ,2015,In,,8,0,8,0,0,0,0,"325,128"
1,North America,  ,2016,In,,259,0.08,259,0,0,0,0,"324,119"
1,North America,  ,2017,In,,53,0.02,53,1,1.89,0,0,"324,460"
1,North America,  ,2018,In,,15,0,15,0,0,0,0,"326,767"
1,North America,  ,2019,In,,53,0.02,53,0,0,0,0,"326,767"
1,North America,  ,2020,In,,64,0.02,64,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,10,517,135.34,74,0,0,0,0,382
2,Belize,"DEN 1,3",2020,Out,10,"1,049",274.61,217,0,0,0,0,382
2,Belize,DEN 2,2015,Out,10,732,210.34,51,,,,,348
2,Belize,DEN 2,2017,Out,10,"1,058",282.13,11,2,0.19,0,0,375
2,Belize,DEN 2,2018,Out,10,261,68.32,8,,,0,0,382
2,Belize,DEN 3,2016,Out,10,"1,170",318.8,75,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,10,"1,008",20.55,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,10,370,7.47,,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,10,398,8.04,12,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,10,"1,484",29.96,96,2,0.13,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,10,790,15.79,0,0,0,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,10,"5,888",121.23,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,10,"1,900",29.57,262,10,0.53,0,0,"6,426"
2,El Salvador,DEN 2,2016,Out,10,"2,722",44.29,52,59,2.17,0,0,"6,146"
2,El Salvador,DEN 2,2017,Out,10,718,11.26,28,0,0,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,10,709,11.06,25,0,0,0,0,"6,412"
2,El Salvador,DEN 2,2019,Out,10,"1,473",22.97,219,20,1.36,0,0,"6,412"
2,El Salvador,DEN 2,2020,Out,10,"1,878",29.29,17,4,0.21,0,0,"6,412"
2,Guatemala,"DEN 1,2,3",2020,Out,10,"2,786",16.16,355,9,0.32,6,0.215,"17,245"
2,Guatemala,"DEN 1,2,3,4",2015,Out,10,"1,934",11.9,20,2,0.1,2,0.103,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,8,"1,179",7.07,243,0,0,0,0,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,10,534,3.16,,0,0,0,0,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,10,753,4.37,151,7,0.93,0,0,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,10,"1,602",9.29,166,19,1.19,6,0.375,"17,245"
