ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,42,0,,0,0,,0,,0
1,Canada,  ,2016,Out,42,0,,0,0,,0,,0
1,Canada,  ,2017,Out,42,0,,0,0,,0,,0
1,Canada,  ,2018,Out,42,0,,0,0,,0,,0
1,Canada,  ,2019,Out,42,0,,0,0,,0,,0
1,Canada,  ,2020,Out,42,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,42,901,0.28,901,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,42,346,0.11,346,8,2.31,0,0,"324,460"
1,United States of America,  ,2018,Out,42,207,0.06,207,4,1.93,0,0,"326,767"
1,United States of America,  ,2019,Out,42,772,0.24,772,13,1.68,0,0,"326,767"
1,United States of America,  ,2020,Out,42,239,0.07,239,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,42,570,0.18,570,4,0.7,0,0,"325,128"
1,North America,  ,2015,In,,570,0.18,570,4,0.7,0,0,"325,128"
1,North America,  ,2016,In,,901,0.28,901,0,0,0,0,"324,119"
1,North America,  ,2017,In,,346,0.11,346,8,2.31,0,0,"324,460"
1,North America,  ,2018,In,,207,0.06,207,4,1.93,0,0,"326,767"
1,North America,  ,2019,In,,772,0.24,772,13,1.68,0,0,"326,767"
1,North America,  ,2020,In,,239,0.07,239,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,42,"9,557","2,501.83","2,356",84,0.88,0,0,382
2,Belize,"DEN 1,3",2020,Out,42,"2,307",603.93,320,0,0,0,0,382
2,Belize,DEN 2,2015,Out,42,"4,340","1,247.13",400,,,,,348
2,Belize,DEN 2,2017,Out,42,"2,826",753.6,43,2,0.07,0,0,375
2,Belize,DEN 2,2018,Out,42,"1,590",416.23,78,,,0,0,382
2,Belize,DEN 3,2016,Out,42,"4,365","1,189.37",120,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,42,"5,016",102.24,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,42,"2,113",42.66,265,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,42,"7,264",146.66,301,10,0.14,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,42,"9,206",185.87,426,20,0.22,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,42,"9,040",180.73,0,6,0.07,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,42,"20,127",414.39,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,42,"39,701",617.82,"8,795",321,0.81,3,0.008,"6,426"
2,El Salvador,DEN 2,2016,Out,42,"7,938",129.16,111,187,2.36,1,0.013,"6,146"
2,El Salvador,DEN 2,2017,Out,42,"3,551",55.68,182,6,0.17,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,42,"6,635",103.48,644,100,1.51,1,0.015,"6,412"
2,El Salvador,DEN 2,2019,Out,42,"24,045",375,710,105,0.44,14,0.058,"6,412"
2,El Salvador,DEN 2,2020,Out,42,"4,883",76.15,35,9,0.18,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,42,"14,687",90.35,824,25,0.17,9,0.061,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,42,"7,783",46.68,330,41,0.53,2,0.026,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,41,"3,389",20.04,"1,010",33,0.97,13,0.384,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,42,"5,831",33.81,"1,833",62,1.06,17,0.292,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,42,"42,852",248.49,"1,073",108,0.25,64,0.149,"17,245"
2,Guatemala,"DEN 1,2,3,4",2020,Out,42,"5,587",32.4,798,18,0.32,10,0.179,"17,245"
2,Honduras,  ,2015,Out,42,"39,843",472.97,0,863,2.17,0,0,"8,424"
2,Honduras,"DEN 1,2",2019,Out,42,"91,681","1,001.10",151,"17,853",19.47,151,0.165,"9,158"
2,Honduras,"DEN 1,2",2020,Out,42,"22,658",247.41,75,"1,637",7.22,9,0.04,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,42,"5,770",61.27,,439,7.61,1,0.017,"9,417"
2,Honduras,DEN 2,2016,Out,42,"21,932",267.79,76,257,1.17,2,0.009,"8,190"
2,Honduras,DEN 2,2017,Out,42,"4,756",51.33,0,96,2.02,0,0,"9,265"
2,Mexico,"DEN 1,2,3",2017,Out,42,"63,744",49.35,"10,107",279,0.44,17,0.027,"129,163"
2,Mexico,"DEN 1,2,3,4",2015,Out,42,"174,769",139.55,"18,583","3,695",2.11,22,0.013,"125,236"
2,Mexico,"DEN 1,2,3,4",2016,Out,42,"105,361",81.91,"13,041",653,0.62,11,0.01,"128,632"
2,Mexico,"DEN 1,2,3,4",2018,Out,42,"53,908",41.23,"7,911",546,1.01,28,0.052,"130,759"
2,Mexico,"DEN 1,2,3,4",2019,Out,42,"181,625",138.9,"26,697","1,968",1.08,89,0.049,"130,759"
2,Mexico,"DEN 1,2,3,4",2020,Out,42,"87,298",66.76,"15,926",764,0.88,50,0.057,"130,759"
2,Nicaragua,DEN 2,2016,Out,42,"76,121","1,237.74","5,849",,,16,0.021,"6,150"
2,Nicaragua,DEN 2,2017,Out,42,"55,723",896.16,"2,136",,,2,0.004,"6,218"
2,Nicaragua,DEN 2,2018,Out,42,"43,285",688.7,"1,313",,,2,0.005,"6,285"
2,Nicaragua,DEN 2,2019,Out,42,"145,389","2,313.27","8,116",953,0.66,26,0.018,"6,285"
2,Nicaragua,DEN 2,2020,Out,42,"42,361",674,"1,040",53,0.13,1,0.002,"6,285"
2,Nicaragua,"DEN 2,3",2015,Out,42,"33,998",543.36,"2,012",7,0.02,7,0.021,"6,257"
2,Panama,DEN 1,2020,Out,42,"3,740",89.84,"1,856",12,0.32,5,0.134,"4,163"
2,Panama,"DEN 1,2",2018,Out,42,"5,532",132.88,"3,373",7,0.13,3,0.054,"4,163"
2,Panama,"DEN 1,2,3",2015,Out,41,"1,933",48.47,"1,633",3,0.16,1,0.052,"3,988"
2,Panama,"DEN 1,2,3",2016,Out,42,"4,625",115.91,"1,291",12,0.26,9,0.195,"3,990"
2,Panama,"DEN 1,2,3",2017,Out,42,"6,686",163.11,"3,526",13,0.19,0,0,"4,099"
2,Panama,"DEN 1,3",2019,Out,42,"5,352",128.56,"3,190",10,0.19,3,0.056,"4,163"
2,Central America Ithsmus and Mexico,  ,2015,In,,"318,311",185.13,"32,247","4,920",1.55,42,0.013,"171,936"
2,Central America Ithsmus and Mexico,  ,2016,In,,"248,252",141.85,"20,818","1,150",0.46,41,0.017,"175,005"
2,Central America Ithsmus and Mexico,  ,2017,In,,"145,691",82.16,"17,004",429,0.29,32,0.022,"177,318"
2,Central America Ithsmus and Mexico,  ,2018,In,,"124,664",69.41,"15,417","1,154",0.93,52,0.042,"179,616"
2,Central America Ithsmus and Mexico,  ,2019,In,,"507,765",283.1,"42,594","21,091",4.15,347,0.068,"179,357"
2,Central America Ithsmus and Mexico,  ,2020,In,,"178,040",99.27,"20,476","2,513",1.41,75,0.042,"179,357"
