Date,Country/Territory,Suspected,Confirmed,Imported Cases,Incidence Rate,Zika Case Deaths,Zika Congenital Syndrome,Population x1000e,Noncumulative Suspected,Noncumulative Confirmed,Noncumulative Zika Case Deaths,Noncumulative Zika Congenital Syndrome
2016-11-23,Subtotal ,2404,38,57.0,3.5366701425095584,0.0,3.0,69048,-13419,-3438,-4.0,-1.0
2016-11-23,Anguilla,44,7,1.0,300.0,0.0,0.0,17,4,2,0.0,0.0
2016-11-23,Antigua and Barbuda,393,14,2.0,432.97872340425533,0.0,0.0,94,0,0,0.0,0.0
2016-11-23,Aruba,614,28,7.0,563.1578947368421,0.0,0.0,114,0,0,0.0,0.0
2016-11-23,Bahamas,0,21,3.0,5.343511450381679,0.0,0.0,393,0,0,0.0,0.0
2016-11-23,Barbados,653,37,0.0,237.11340206185568,0.0,0.0,291,0,0,0.0,0.0
2016-11-23,"Bonaire, St Eustatius and Saba",0,85,0.0,340.0,0.0,0.0,25,0,0,0.0,0.0
2016-11-23,Subtotal ,159133,12292,37.0,123.48724967583922,0.0,61.0,138820,156729,12254,0.0,58.0
2016-11-23,Cayman Islands,201,29,10.0,403.50877192982455,0.0,0.0,57,0,0,0.0,0.0
2016-11-23,Dominica,1150,79,0.0,1660.8108108108108,0.0,0.0,74,0,0,0.0,0.0
2016-11-23,Grenada,314,108,0.0,380.1801801801802,0.0,1.0,111,0,0,0.0,0.0
2016-11-23,Guyana,0,6,0.0,0.7782101167315175,0.0,0.0,771,0,0,0.0,0.0
2016-11-23,Jamaica,7052,186,0.0,258.2233321441313,0.0,0.0,2803,603,64,0.0,0.0
2016-11-23,Montserrat ,0,2,0.0,40.0,0.0,0.0,5,0,0,0.0,0.0
2016-11-23,Saint Kitts and Nevis,532,26,0.0,1073.076923076923,0.0,0.0,52,0,0,0.0,0.0
2016-11-23,Saint Lucia,822,50,0.0,531.7073170731708,0.0,0.0,164,0,0,0.0,0.0
2016-11-23,Saint Vincent and the Grenadines,156,38,0.0,190.19607843137254,0.0,0.0,102,0,0,0.0,0.0
2016-11-23,Sint Maarten (Dutch part),168,62,0.0,560.9756097560976,0.0,0.0,41,0,0,0.0,0.0
2016-11-23,Suriname,2755,723,0.0,634.6715328467153,4.0,2.0,548,0,0,0.0,0.0
2016-11-23,Trinidad and Tobago,0,643,1.0,47.10622710622711,0.0,1.0,1365,0,0,0.0,0.0
2016-11-23,Turks and Caicos Islands,115,12,3.0,249.01960784313727,0.0,0.0,51,0,0,0.0,0.0
2016-11-23,Curacao,0,820,0.0,550.3355704697987,0.0,0.0,149,0,0,0.0,0.0
2016-11-23,Virgin Islands (UK),51,38,0.0,261.7647058823529,0.0,0.0,34,0,0,0.0,0.0
2016-11-23,Venezuela (Bolivarian Republic of),59147,2380,0.0,195.20606618230275,0.0,0.0,31519,389,136,0.0,0.0
2016-11-23,Peru,0,145,18.0,0.46216612481672725,0.0,0.0,31374,0,2,0.0,0.0
2016-11-23,Bermuda ,0,0,5.0,0.0,0.0,0.0,71,0,0,0.0,0.0
2016-11-23,Canada,0,0,374.0,0.0,0.0,0.0,36286,0,0,0.0,0.0
2016-11-23,United States of America,0,140,4115.0,0.04319401207581166,0.0,31.0,324119,0,0,0.0,0.0
2016-11-23,Subtotal ,0,140,4494.0,0.038837537034365675,0.0,31.0,360476,-159133,-12152,0.0,-30.0
2016-11-23,Mexico,0,6642,15.0,5.1635673860314695,0.0,0.0,128632,0,168,0.0,0.0
2016-11-23,Belize ,537,49,0.0,159.67302452316076,0.0,0.0,367,0,0,0.0,0.0
2016-11-23,Costa Rica,2618,1453,32.0,83.81717109326745,0.0,2.0,4857,55,38,0.0,1.0
2016-11-23,El Salvador,11353,51,0.0,185.5515782622844,0.0,4.0,6146,20,0,0.0,0.0
2016-11-23,Guatemala,2785,466,0.0,19.498590535596474,0.0,15.0,16673,0,0,0.0,0.0
2016-11-23,Honduras,31863,298,0.0,392.6862026862027,0.0,2.0,8190,144,13,0.0,1.0
2016-11-23,Nicaragua,0,2044,3.0,33.235772357723576,0.0,0.0,6150,0,6,0.0,0.0
2016-11-23,Panama,2089,517,42.0,65.31328320802005,0.0,5.0,3990,0,0,0.0,0.0
2016-11-23,TOTAL,517868,172602,4748.0,69.18259789186806,15.0,2330.0,998040,1381,1049,0.0,19.0
2016-11-23,Subtotal ,51245,4878,77.0,121.02516550579001,0.0,28.0,46373,51245,4738,0.0,-3.0
2016-11-23,Dominican Republic,4893,327,0.0,49.01868720067612,0.0,10.0,10649,4,-1,0.0,0.0
2016-11-23,French Guiana,9700,483,10.0,3689.4927536231885,0.0,14.0,276,0,0,0.0,0.0
2016-11-23,Guadeloupe,30845,379,0.0,6629.299363057325,0.0,1.0,471,0,0,0.0,0.0
2016-11-23,Haiti,2955,5,0.0,27.28613569321534,0.0,1.0,10848,0,0,0.0,0.0
2016-11-23,Martinique,36680,12,0.0,9265.656565656565,0.0,14.0,396,0,0,0.0,0.0
2016-11-23,Puerto Rico,0,34070,1.0,925.5637055148057,5.0,4.0,3681,0,615,0.0,1.0
2016-11-23,Saint Barthelemy,900,61,0.0,10677.777777777777,0.0,0.0,9,0,0,0.0,0.0
2016-11-23,Saint Martin,2825,200,0.0,8402.777777777777,0.0,0.0,36,0,0,0.0,0.0
2016-11-23,Subtotal ,88798,35540,41.0,329.29367832834555,5.0,44.0,37759,37553,30662,5.0,16.0
2016-11-23,Bolivia (Plurinational State of),718,129,4.0,7.779206465833946,0.0,3.0,10888,0,0,0.0,0.0
2016-11-23,Colombia,96546,8826,0.0,216.57417684054755,0.0,58.0,48654,125,0,0.0,0.0
2016-11-23,Ecuador,2722,812,15.0,21.568507781507478,0.0,0.0,16385,0,6,0.0,0.0
2016-11-23,Cuba,0,3,30.0,0.026331958219959626,0.0,0.0,11393,0,0,0.0,0.0
2016-11-23,Virgin Islands (US),803,462,0.0,1228.1553398058252,0.0,0.0,103,0,0,0.0,0.0
2016-11-30,Subtotal ,15904,3478,27.0,263.19934818033676,4.0,4.0,7364,-72894,-32062,-1.0,-40.0
2016-11-30,Chile,0,0,29.0,0.0,0.0,0.0,18132,0,0,0.0,0.0
2016-11-30,Paraguay,583,12,0.0,8.847583643122677,0.0,2.0,6725,0,0,0.0,0.0
2016-11-30,Uruguay,0,0,1.0,0.0,0.0,0.0,344,0,0,0.0,0.0
2016-11-30,Subtotal ,2404,38,57.0,3.5366701425095584,0.0,3.0,69048,-13500,-3440,-4.0,-1.0
2016-11-30,Anguilla,53,8,1.0,358.8235294117647,0.0,0.0,17,9,1,0.0,0.0
2016-11-30,Antigua and Barbuda,465,14,2.0,509.5744680851064,0.0,0.0,94,72,0,0.0,0.0
