index,Country/Territory,Suspected,Confirmed,Imported Cases,Incidence Rate,Zika Case Deaths,Zika Congenital Syndrome,Population x1000e,Congenital Suspected,Congenital Probable,GBS,Confirmed congenital syndrome,Date,Year,Month,Day,Noncumulative Suspected,Noncumulative Confirmed,Noncumulative Zika Case Deaths,Noncumulative Zika Congenital Syndrome
66,Subtotal ,15823,3476,27.0,262.0722433460076,4.0,4.0,7364,10,5,15,4,2016-11-23,2016,nov,23,-72971,-31450,-1.0,-39.0
36,Brazil,200465,109596,0.0,147.9524545732173,6.0,2159.0,209568,9289,2989,,,2016-11-23,2016,nov,23,0,0,0.0,16.0
38,Argentina,1821,26,27.0,4.212374848906425,0.0,1.0,43847,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
39,Chile,0,0,29.0,0.0,0.0,0.0,18132,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
40,Paraguay,583,12,0.0,8.847583643122677,0.0,2.0,6725,,,,,2016-11-23,2016,nov,23,37,0,0.0,0.0
41,Uruguay,0,0,1.0,0.0,0.0,0.0,344,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
42,Subtotal ,2404,38,57.0,3.5366701425095584,0.0,3.0,69048,0,0,0,0,2016-11-23,2016,nov,23,-13419,-3438,-4.0,-1.0
44,Anguilla,44,7,1.0,300.0,0.0,0.0,17,,,,,2016-11-23,2016,nov,23,4,2,0.0,0.0
45,Antigua and Barbuda,393,14,2.0,432.97872340425533,0.0,0.0,94,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
46,Aruba,614,28,7.0,563.1578947368421,0.0,0.0,114,0,0,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
47,Bahamas,0,21,3.0,5.343511450381679,0.0,0.0,393,0,0,0,0,2016-11-23,2016,nov,23,0,0,0.0,0.0
48,Barbados,653,37,0.0,237.11340206185568,0.0,0.0,291,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
49,"Bonaire, St Eustatius and Saba",0,85,0.0,340.0,0.0,0.0,25,0,0,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
35,Subtotal ,159133,12292,37.0,123.48724967583922,0.0,61.0,138820,195,216,417,0,2016-11-23,2016,nov,23,156729,12254,0.0,58.0
50,Cayman Islands,201,29,10.0,403.50877192982455,0.0,0.0,57,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
52,Dominica,1150,79,0.0,1660.8108108108108,0.0,0.0,74,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
53,Grenada,314,108,0.0,380.1801801801802,0.0,1.0,111,8,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
54,Guyana,0,6,0.0,0.7782101167315175,0.0,0.0,771,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
55,Jamaica,7052,186,0.0,258.2233321441313,0.0,0.0,2803,,,,,2016-11-23,2016,nov,23,603,64,0.0,0.0
56,Montserrat ,0,2,0.0,40.0,0.0,0.0,5,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
57,Saint Kitts and Nevis,532,26,0.0,1073.076923076923,0.0,0.0,52,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
58,Saint Lucia,822,50,0.0,531.7073170731708,0.0,0.0,164,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
59,Saint Vincent and the Grenadines,156,38,0.0,190.19607843137254,0.0,0.0,102,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
60,Sint Maarten (Dutch part),168,62,0.0,560.9756097560976,0.0,0.0,41,0,0,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
61,Suriname,2755,723,0.0,634.6715328467153,4.0,2.0,548,2,5,15,4,2016-11-23,2016,nov,23,0,0,0.0,0.0
62,Trinidad and Tobago,0,643,1.0,47.10622710622711,0.0,1.0,1365,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
63,Turks and Caicos Islands,115,12,3.0,249.01960784313727,0.0,0.0,51,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
51,Curacao,0,820,0.0,550.3355704697987,0.0,0.0,149,0,0,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
64,Virgin Islands (UK),51,38,0.0,261.7647058823529,0.0,0.0,34,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
34,Venezuela (Bolivarian Republic of),59147,2380,0.0,195.20606618230275,0.0,0.0,31519,,,,,2016-11-23,2016,nov,23,389,136,0.0,0.0
33,Peru,0,145,18.0,0.46216612481672725,0.0,0.0,31374,,,,,2016-11-23,2016,nov,23,0,2,0.0,0.0
2,Bermuda ,0,0,5.0,0.0,0.0,0.0,71,0,0,0,0,2016-11-23,2016,nov,23,0,0,0.0,0.0
3,Canada,0,0,374.0,0.0,0.0,0.0,36286,0,0,0,0,2016-11-23,2016,nov,23,0,0,0.0,0.0
4,United States of America,0,140,4115.0,0.04319401207581166,0.0,31.0,324119,0,0,0,7,2016-11-23,2016,nov,23,0,0,0.0,0.0
5,Subtotal ,0,140,4494.0,0.038837537034365675,0.0,31.0,360476,0,0,0,7,2016-11-23,2016,nov,23,-159133,-12152,0.0,-30.0
8,Mexico,0,6642,15.0,5.1635673860314695,0.0,0.0,128632,0,0,419,0,2016-11-23,2016,nov,23,0,168,0.0,0.0
10,Belize ,537,49,0.0,159.67302452316076,0.0,0.0,367,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
11,Costa Rica,2618,1453,32.0,83.81717109326745,0.0,2.0,4857,0,0,0,1,2016-11-23,2016,nov,23,55,38,0.0,1.0
12,El Salvador,11353,51,0.0,185.5515782622844,0.0,4.0,6146,,,,,2016-11-23,2016,nov,23,20,0,0.0,0.0
13,Guatemala,2785,466,0.0,19.498590535596474,0.0,15.0,16673,5,0,47,13,2016-11-23,2016,nov,23,0,0,0.0,0.0
14,Honduras,31863,298,0.0,392.6862026862027,0.0,2.0,8190,61,0,141,1,2016-11-23,2016,nov,23,144,13,0.0,1.0
15,Nicaragua,0,2044,3.0,33.235772357723576,0.0,0.0,6150,,,,,2016-11-23,2016,nov,23,0,6,0.0,0.0
16,Panama,2089,517,42.0,65.31328320802005,0.0,5.0,3990,35,5,13,3,2016-11-23,2016,nov,23,0,0,0.0,0.0
67,TOTAL,517868,172602,4748.0,69.18259789186806,15.0,2330.0,998040,9611,3216,1366,93,2016-11-23,2016,nov,23,1381,1049,0.0,19.0
17,Subtotal ,51245,4878,77.0,121.02516550579001,0.0,28.0,46373,101,5,201,18,2016-11-23,2016,nov,23,51245,4738,0.0,-3.0
20,Dominican Republic,4893,327,0.0,49.01868720067612,0.0,10.0,10649,16,0,274,30,2016-11-23,2016,nov,23,4,-1,0.0,0.0
21,French Guiana,9700,483,10.0,3689.4927536231885,0.0,14.0,276,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
22,Guadeloupe,30845,379,0.0,6629.299363057325,0.0,1.0,471,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
23,Haiti,2955,5,0.0,27.28613569321534,0.0,1.0,10848,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
24,Martinique,36680,12,0.0,9265.656565656565,0.0,14.0,396,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
25,Puerto Rico,0,34070,1.0,925.5637055148057,5.0,4.0,3681,0,1,11,34,2016-11-23,2016,nov,23,0,615,0.0,1.0
26,Saint Barthelemy,900,61,0.0,10677.777777777777,0.0,0.0,9,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
27,Saint Martin,2825,200,0.0,8402.777777777777,0.0,0.0,36,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
28,Subtotal ,88798,35540,41.0,329.29367832834555,5.0,44.0,37759,16,1,314,64,2016-11-23,2016,nov,23,37553,30662,5.0,16.0
30,Bolivia (Plurinational State of),718,129,4.0,7.779206465833946,0.0,3.0,10888,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
31,Colombia,96546,8826,0.0,216.57417684054755,0.0,58.0,48654,195,216,417,0,2016-11-23,2016,nov,23,125,0,0.0,0.0
32,Ecuador,2722,812,15.0,21.568507781507478,0.0,0.0,16385,,,,,2016-11-23,2016,nov,23,0,6,0.0,0.0
19,Cuba,0,3,30.0,0.026331958219959626,0.0,0.0,11393,,,29,,2016-11-23,2016,nov,23,0,0,0.0,0.0
65,Virgin Islands (US),803,462,0.0,1228.1553398058252,0.0,0.0,103,,,,,2016-11-23,2016,nov,23,0,0,0.0,0.0
66,Subtotal ,15904,3478,27.0,263.19934818033676,4.0,4.0,7364,10,5,15,4,2016-11-30,2016,nov,30,-72894,-32062,-1.0,-40.0
39,Chile,0,0,29.0,0.0,0.0,0.0,18132,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
40,Paraguay,583,12,0.0,8.847583643122677,0.0,2.0,6725,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
41,Uruguay,0,0,1.0,0.0,0.0,0.0,344,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
42,Subtotal ,2404,38,57.0,3.5366701425095584,0.0,3.0,69048,0,0,0,0,2016-11-30,2016,nov,30,-13500,-3440,-4.0,-1.0
44,Anguilla,53,8,1.0,358.8235294117647,0.0,0.0,17,,,,,2016-11-30,2016,nov,30,9,1,0.0,0.0
45,Antigua and Barbuda,465,14,2.0,509.5744680851064,0.0,0.0,94,,,,,2016-11-30,2016,nov,30,72,0,0.0,0.0
46,Aruba,614,28,7.0,563.1578947368421,0.0,0.0,114,0,0,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
47,Bahamas,0,21,3.0,5.343511450381679,0.0,0.0,393,0,0,0,0,2016-11-30,2016,nov,30,0,0,0.0,0.0
48,Barbados,653,37,0.0,237.11340206185568,0.0,0.0,291,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
49,"Bonaire, St Eustatius and Saba",0,85,0.0,340.0,0.0,0.0,25,0,0,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
50,Cayman Islands,201,29,10.0,403.50877192982455,0.0,0.0,57,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
51,Curacao,0,820,0.0,550.3355704697987,0.0,0.0,149,0,0,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
38,Argentina,1821,26,27.0,4.212374848906425,0.0,1.0,43847,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
52,Dominica,1150,79,0.0,1660.8108108108108,0.0,0.0,74,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
54,Guyana,0,6,0.0,0.7782101167315175,0.0,0.0,771,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
55,Jamaica,7052,186,0.0,258.2233321441313,0.0,0.0,2803,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
56,Montserrat ,0,2,0.0,40.0,0.0,0.0,5,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
57,Saint Kitts and Nevis,532,26,0.0,1073.076923076923,0.0,0.0,52,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
58,Saint Lucia,822,50,0.0,531.7073170731708,0.0,0.0,164,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
59,Saint Vincent and the Grenadines,156,38,0.0,190.19607843137254,0.0,0.0,102,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
60,Sint Maarten (Dutch part),168,62,0.0,560.9756097560976,0.0,0.0,41,0,0,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
61,Suriname,2755,723,0.0,634.6715328467153,4.0,2.0,548,2,5,15,4,2016-11-30,2016,nov,30,0,0,0.0,0.0
62,Trinidad and Tobago,0,643,1.0,47.10622710622711,0.0,1.0,1365,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
63,Turks and Caicos Islands,115,12,3.0,249.01960784313727,0.0,0.0,51,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
64,Virgin Islands (UK),51,38,0.0,261.7647058823529,0.0,0.0,34,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
65,Virgin Islands (US),803,462,0.0,1228.1553398058252,0.0,0.0,103,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
53,Grenada,314,109,0.0,381.0810810810811,0.0,1.0,111,8,,,,2016-11-30,2016,nov,30,0,1,0.0,0.0
67,TOTAL,518290,173347,4894.0,69.2995270730632,15.0,2383.0,998040,9611,3216,1366,93,2016-11-30,2016,nov,30,422,745,0.0,53.0
35,Subtotal ,159225,12350,37.0,123.59530327042214,0.0,69.0,138820,195,216,417,0,2016-11-30,2016,nov,30,156821,12312,0.0,66.0
33,Peru,0,171,18.0,0.5450372920252439,0.0,0.0,31374,,,,,2016-11-30,2016,nov,30,0,26,0.0,0.0
2,Bermuda ,0,0,5.0,0.0,0.0,0.0,71,0,0,0,0,2016-11-30,2016,nov,30,0,0,0.0,0.0
3,Canada,0,0,374.0,0.0,0.0,0.0,36286,0,0,0,0,2016-11-30,2016,nov,30,0,0,0.0,0.0
4,United States of America,0,183,4261.0,0.05646074435623953,0.0,33.0,324119,0,0,0,7,2016-11-30,2016,nov,30,0,43,0.0,2.0
5,Subtotal ,0,183,4640.0,0.05076620912349227,0.0,33.0,360476,0,0,0,7,2016-11-30,2016,nov,30,-159225,-12167,0.0,-36.0
8,Mexico,0,6764,15.0,5.258411592760744,0.0,0.0,128632,0,0,419,0,2016-11-30,2016,nov,30,0,122,0.0,0.0
10,Belize ,537,49,0.0,159.67302452316076,0.0,0.0,367,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
11,Costa Rica,2618,1453,32.0,83.81717109326745,0.0,2.0,4857,0,0,0,1,2016-11-30,2016,nov,30,0,0,0.0,0.0
12,El Salvador,11363,51,0.0,185.71428571428572,0.0,4.0,6146,,,,,2016-11-30,2016,nov,30,10,0,0.0,0.0
13,Guatemala,2785,466,0.0,19.498590535596474,0.0,15.0,16673,5,0,47,13,2016-11-30,2016,nov,30,0,0,0.0,0.0
14,Honduras,31863,298,0.0,392.6862026862027,0.0,2.0,8190,61,0,141,1,2016-11-30,2016,nov,30,0,0,0.0,0.0
15,Nicaragua,0,2045,3.0,33.2520325203252,0.0,0.0,6150,,,,,2016-11-30,2016,nov,30,0,1,0.0,0.0
16,Panama,2168,544,42.0,67.96992481203007,0.0,5.0,3990,35,5,13,3,2016-11-30,2016,nov,30,79,27,0.0,0.0
34,Venezuela (Bolivarian Republic of),59147,2380,0.0,195.20606618230275,0.0,0.0,31519,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
17,Subtotal ,51334,4906,77.0,121.27746749185948,0.0,28.0,46373,101,5,201,18,2016-11-30,2016,nov,30,51334,4723,0.0,-5.0
20,Dominican Republic,4898,327,0.0,49.065639966194006,0.0,22.0,10649,16,0,274,30,2016-11-30,2016,nov,30,5,0,0.0,12.0
21,French Guiana,9700,483,10.0,3689.4927536231885,0.0,14.0,276,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
22,Guadeloupe,30845,379,0.0,6629.299363057325,0.0,1.0,471,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
23,Haiti,2955,5,0.0,27.28613569321534,0.0,1.0,10848,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
24,Martinique,36680,12,0.0,9265.656565656565,0.0,14.0,396,,,,,2016-11-30,2016,nov,30,0,0,0.0,0.0
25,Puerto Rico,0,34562,1.0,938.9296386851399,5.0,5.0,3681,0,1,11,34,2016-11-30,2016,nov,30,0,492,0.0,1.0
26,Saint Barthelemy,930,61,0.0,11011.111111111111,0.0,0.0,9,,,,,2016-11-30,2016,nov,30,30,0,0.0,0.0
27,Saint Martin,2950,200,0.0,8750.0,0.0,0.0,36,,,,,2016-11-30,2016,nov,30,125,0,0.0,0.0
28,Subtotal ,88958,36032,41.0,331.0204189729601,5.0,57.0,37759,16,1,314,64,2016-11-30,2016,nov,30,37624,31126,5.0,29.0
30,Bolivia (Plurinational State of),718,140,4.0,7.880235121234387,0.0,9.0,10888,,,,,2016-11-30,2016,nov,30,0,11,0.0,6.0
31,Colombia,96692,8826,0.0,216.87425494306737,0.0,60.0,48654,195,216,417,0,2016-11-30,2016,nov,30,146,0,0.0,2.0
32,Ecuador,2668,833,15.0,21.367104058590176,0.0,0.0,16385,,,,,2016-11-30,2016,nov,30,-54,21,0.0,0.0
19,Cuba,0,3,30.0,0.026331958219959626,0.0,0.0,11393,,,29,,2016-11-30,2016,nov,30,0,0,0.0,0.0
36,Brazil,200465,109596,0.0,147.9524545732173,6.0,2189.0,209568,9289,2989,,,2016-11-30,2016,nov,30,0,0,0.0,30.0
35,Subtotal ,160296,12339,46.0,124.35888200547471,0.0,69.0,138820,195,216,417,0,2016-12-08,2016,dec,8,71338,-23693,-5.0,12.0
34,Venezuela (Bolivarian Republic of),59235,2380,0.0,195.48526285732416,0.0,0.0,31519,,,,,2016-12-08,2016,dec,8,88,0,0.0,0.0
33,Peru,898,154,27.0,3.3530949193599797,0.0,0.0,31374,,,,,2016-12-08,2016,dec,8,898,-17,0.0,0.0
32,Ecuador,2693,839,15.0,21.556301495270063,0.0,0.0,16385,,,,,2016-12-08,2016,dec,8,25,6,0.0,0.0
31,Colombia,96729,8826,0.0,216.950302133432,0.0,60.0,48654,195,216,417,0,2016-12-08,2016,dec,8,37,0,0.0,0.0
30,Bolivia (Plurinational State of),741,140,4.0,8.09147685525349,0.0,9.0,10888,,,,,2016-12-08,2016,dec,8,23,0,0.0,0.0
28,Subtotal ,88958,36295,41.0,331.71694165629384,5.0,59.0,37759,16,1,314,64,2016-12-08,2016,dec,8,-71338,23956,5.0,-10.0
27,Saint Martin,2950,200,0.0,8750.0,0.0,0.0,36,,,,,2016-12-08,2016,dec,8,0,0,0.0,0.0
26,Saint Barthelemy,930,61,0.0,11011.111111111111,0.0,0.0,9,,,,,2016-12-08,2016,dec,8,0,0,0.0,0.0
25,Puerto Rico,0,34825,1.0,946.0744362944852,5.0,7.0,3681,0,1,11,34,2016-12-08,2016,dec,8,0,263,0.0,2.0
24,Martinique,36680,12,0.0,9265.656565656565,0.0,14.0,396,,,,,2016-12-08,2016,dec,8,0,0,0.0,0.0
23,Haiti,2955,5,0.0,27.28613569321534,0.0,1.0,10848,,,,,2016-12-08,2016,dec,8,0,0,0.0,0.0
22,Guadeloupe,30845,379,0.0,6629.299363057325,0.0,1.0,471,,,,,2016-12-08,2016,dec,8,0,0,0.0,0.0
36,Brazil,200465,109596,0.0,147.9524545732173,6.0,2211.0,209568,9289,2989,,,2016-12-08,2016,dec,8,0,0,0.0,22.0
21,French Guiana,9700,483,10.0,3689.4927536231885,0.0,14.0,276,,,,,2016-12-08,2016,dec,8,0,0,0.0,0.0
19,Cuba,0,3,30.0,0.026331958219959626,0.0,0.0,11393,,,29,,2016-12-08,2016,dec,8,0,0,0.0,0.0
17,Subtotal ,51813,5062,77.0,122.64679878377504,0.0,30.0,46373,101,5,201,18,2016-12-08,2016,dec,8,-37145,-31233,-5.0,-29.0
16,Panama,2304,577,42.0,72.20551378446115,0.0,5.0,3990,35,5,13,3,2016-12-08,2016,dec,8,136,33,0.0,0.0
15,Nicaragua,0,2051,3.0,33.34959349593496,0.0,2.0,6150,,,,,2016-12-08,2016,dec,8,0,6,0.0,2.0
14,Honduras,31907,298,0.0,393.2234432234432,0.0,2.0,8190,61,0,141,1,2016-12-08,2016,dec,8,44,0,0.0,0.0
13,Guatemala,2785,466,0.0,19.498590535596474,0.0,15.0,16673,5,0,47,13,2016-12-08,2016,dec,8,0,0,0.0,0.0
12,El Salvador,11379,51,0.0,185.9746176374878,0.0,4.0,6146,,,,,2016-12-08,2016,dec,8,16,0,0.0,0.0
11,Costa Rica,2723,1553,32.0,88.0378834671608,0.0,2.0,4857,0,0,0,1,2016-12-08,2016,dec,8,105,100,0.0,0.0
10,Belize ,715,66,0.0,212.80653950953678,0.0,0.0,367,,,,,2016-12-08,2016,dec,8,178,17,0.0,0.0
8,Mexico,0,6851,15.0,5.3260463959201445,0.0,0.0,128632,0,0,419,0,2016-12-08,2016,dec,8,0,87,0.0,0.0
